N.º	;Hora	;Personas	; 	; 	; 	; 	; 	;Vehículos a motor	; 	; 	; 	; 	; 	;Vehículos sin motor	;
	;	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
	;	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
15	;(Lunes)2025/12/15	;56	; --%	; --%	;49	; --%	; --%	;2113	; --%	; --%	;2983	; --%	; --%	;36	; --%	; --%	;40	; --%	; --%	;
16	;(Martes)2025/12/16	;63	; --%	; --%	;68	; --%	; --%	;2138	; --%	; --%	;2971	; --%	; --%	;54	; --%	; --%	;85	; --%	; --%	;
17	;(Miércoles)2025/12/17	;37	;Disminuir por5.1%	; --%	;58	;Aumentar por26.1%	; --%	;1957	;Aumentar por122.6%	; --%	;2878	;Aumentar por124.8%	; --%	;16	;Disminuir por68.6%	; --%	;30	;Disminuir por55.2%	; --%	;
18	;(Jueves)2025/12/18	;109	;Disminuir por5.2%	; --%	;151	;Aumentar por48.0%	; --%	;2244	;Disminuir por21.4%	; --%	;3131	;Disminuir por17.5%	; --%	;104	;Disminuir por54.0%	; --%	;175	;Disminuir por43.2%	; --%	;
19	;(Viernes)2025/12/19	;93	;Disminuir por17.7%	; --%	;139	;Aumentar por12.1%	; --%	;2380	;Disminuir por18.4%	; --%	;3352	;Disminuir por11.7%	; --%	;133	;Disminuir por43.2%	; --%	;213	;Disminuir por36.6%	; --%	;
20	;(Sábado)2025/12/20	;108	;Aumentar por68.8%	; --%	;139	;Aumentar por65.5%	; --%	;2268	;Disminuir por23.2%	; --%	;3181	;Disminuir por15.7%	; --%	;114	;Aumentar por9.6%	; --%	;213	;Aumentar por15.1%	; --%	;
21	;(Domingo)2025/12/21	;61	;Disminuir por57.0%	; --%	;90	;Disminuir por37.1%	; --%	;1448	;Disminuir por52.6%	; --%	;2014	;Disminuir por48.8%	; --%	;77	;Disminuir por65.8%	; --%	;139	;Disminuir por59.6%	; --%	;
22	;(Lunes)2025/12/22	;96	;Aumentar por3.2%	; --%	;179	;Aumentar por64.2%	; --%	;2539	;Disminuir por14.6%	; --%	;3639	;Disminuir por1.4%	; --%	;122	;Disminuir por39.3%	; --%	;177	;Disminuir por35.4%	; --%	;
23	;(Martes)2025/12/23	;100	;Aumentar por20.5%	; --%	;102	;Disminuir por10.5%	; --%	;2520	;Aumentar por27.3%	; --%	;3464	;Aumentar por45.9%	; --%	;103	;Disminuir por40.8%	; --%	;172	;Disminuir por37.7%	; --%	;
24	;(Miércoles)2025/12/24	;135	;Sin cambios	; --%	;150	;Aumentar por5.6%	; --%	;2223	;Disminuir por23.8%	; --%	;3024	;Disminuir por22.1%	; --%	;118	;Disminuir por43.8%	; --%	;196	;Disminuir por37.4%	; --%	;
