N.º	;Hora	;Personas	; 	; 	; 	; 	; 	;Vehículos a motor	; 	; 	; 	; 	; 	;Vehículos sin motor	;
	;	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
	;	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
14	;(Domingo)2025/12/14	;105	;Disminuir por91.5%	; --%	;163	;Disminuir por89.2%	; --%	;1	;Disminuir por66.7%	; --%	;12	;Disminuir por20.0%	; --%	;1	;Disminuir por96.8%	; --%	;6	;Disminuir por89.8%	; --%	;
15	;(Lunes)2025/12/15	;94	;Disminuir por89.5%	; --%	;91	;Disminuir por91.7%	; --%	;3	;Aumentar por200.0%	; --%	;17	;Aumentar por112.5%	; --%	;0	;Disminuir por100.0%	; --%	;4	;Disminuir por76.5%	; --%	;
16	;(Martes)2025/12/16	;82	;Disminuir por78.5%	; --%	;70	;Disminuir por88.4%	; --%	;2	;Aumentar por100.0%	; --%	;13	;Aumentar por333.3%	; --%	;3	;Disminuir por57.1%	; --%	;9	;Disminuir por60.9%	; --%	;
17	;(Miércoles)2025/12/17	;51	;Disminuir por77.6%	; --%	;57	;Disminuir por69.0%	; --%	;3	;Aumentar por50.0%	; --%	;19	;Sin cambios	; --%	;0	;Disminuir por100.0%	; --%	;2	;Disminuir por88.2%	; --%	;
18	;(Jueves)2025/12/18	;125	;Disminuir por33.9%	; --%	;165	;Disminuir por23.3%	; --%	;0	; --%	; --%	;16	;Aumentar por100.0%	; --%	;5	;Sin cambios	; --%	;20	;Disminuir por4.8%	; --%	;
19	;(Viernes)2025/12/19	;189	;Disminuir por10.0%	; --%	;206	;Disminuir por9.3%	; --%	;2	;Disminuir por33.3%	; --%	;31	;Aumentar por121.4%	; --%	;3	;Disminuir por66.7%	; --%	;22	;Disminuir por8.3%	; --%	;
20	;(Sábado)2025/12/20	;251	;Aumentar por74.3%	; --%	;429	;Aumentar por95.0%	; --%	;1	;Disminuir por94.7%	; --%	;21	;Disminuir por55.3%	; --%	;4	;Disminuir por42.9%	; --%	;26	;Aumentar por4.0%	; --%	;
21	;(Domingo)2025/12/21	;293	;Disminuir por7.9%	; --%	;301	;Disminuir por3.8%	; --%	;0	;Disminuir por100.0%	; --%	;9	;Disminuir por18.2%	; --%	;2	;Disminuir por75.0%	; --%	;10	;Disminuir por28.6%	; --%	;
22	;(Lunes)2025/12/22	;143	;Disminuir por58.3%	; --%	;206	;Disminuir por51.1%	; --%	;1	; --%	; --%	;19	;Aumentar por171.4%	; --%	;2	;Disminuir por71.4%	; --%	;11	;Disminuir por52.2%	; --%	;
23	;(Martes)2025/12/23	;122	;Disminuir por60.6%	; --%	;160	;Disminuir por67.1%	; --%	;5	;Aumentar por400.0%	; --%	;21	;Aumentar por162.5%	; --%	;5	;Disminuir por28.6%	; --%	;12	;Disminuir por33.3%	; --%	;
