N.º	;Hora	;Personas	; 	; 	; 	; 	; 	;Vehículos a motor	; 	; 	; 	; 	; 	;Vehículos sin motor	;
	;	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
	;	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
13	;(Sábado)2025/12/13	;1320	;Disminuir por50.3%	; --%	;1149	;Disminuir por63.6%	; --%	;1299	;Aumentar por32375.0%	; --%	;6	;Disminuir por99.6%	; --%	;166	;Aumentar por151.5%	; --%	;26	;Disminuir por93.3%	; --%	;
14	;(Domingo)2025/12/14	;432	;Disminuir por83.7%	; --%	;381	;Disminuir por87.9%	; --%	;772	;Aumentar por10928.6%	; --%	;6	;Disminuir por99.7%	; --%	;44	;Disminuir por6.4%	; --%	;6	;Disminuir por97.4%	; --%	;
15	;(Lunes)2025/12/15	;407	;Disminuir por84.6%	; --%	;324	;Disminuir por90.9%	; --%	;1145	;Aumentar por8078.6%	; --%	;2	;Disminuir por99.8%	; --%	;42	;Disminuir por53.3%	; --%	;4	;Disminuir por99.1%	; --%	;
16	;(Martes)2025/12/16	;525	;Disminuir por66.4%	; --%	;387	;Disminuir por77.1%	; --%	;1110	;Aumentar por15757.1%	; --%	;5	;Disminuir por99.7%	; --%	;82	;Aumentar por51.9%	; --%	;24	;Disminuir por92.4%	; --%	;
17	;(Miércoles)2025/12/17	;375	;Disminuir por58.1%	; --%	;312	;Disminuir por71.8%	; --%	;1159	;Aumentar por23080.0%	; --%	;1	;Disminuir por99.9%	; --%	;38	;Disminuir por7.3%	; --%	;11	;Disminuir por96.6%	; --%	;
18	;(Jueves)2025/12/18	;602	;Disminuir por23.8%	; --%	;469	;Disminuir por51.2%	; --%	;1196	;Aumentar por23820.0%	; --%	;4	;Disminuir por99.7%	; --%	;166	;Aumentar por76.6%	; --%	;29	;Disminuir por91.6%	; --%	;
19	;(Viernes)2025/12/19	;715	;Aumentar por6.2%	; --%	;599	;Disminuir por26.0%	; --%	;1275	;Aumentar por31775.0%	; --%	;7	;Disminuir por99.5%	; --%	;189	;Aumentar por372.5%	; --%	;36	;Disminuir por89.0%	; --%	;
20	;(Sábado)2025/12/20	;1147	;Aumentar por61.8%	; --%	;955	;Aumentar por11.4%	; --%	;1194	;Aumentar por13166.7%	; --%	;5	;Disminuir por99.7%	; --%	;216	;Aumentar por620.0%	; --%	;52	;Disminuir por77.5%	; --%	;
21	;(Domingo)2025/12/21	;1002	;Disminuir por24.1%	; --%	;960	;Disminuir por38.7%	; --%	;961	;Aumentar por31933.3%	; --%	;1	;Disminuir por99.9%	; --%	;196	;Aumentar por201.5%	; --%	;44	;Disminuir por84.4%	; --%	;
22	;(Lunes)2025/12/22	;861	;Disminuir por49.6%	; --%	;662	;Disminuir por63.9%	; --%	;1268	;Aumentar por25260.0%	; --%	;9	;Disminuir por99.4%	; --%	;198	;Aumentar por195.5%	; --%	;58	;Disminuir por83.8%	; --%	;
23	;(Martes)2025/12/23	;785	;Disminuir por50.8%	; --%	;684	;Disminuir por57.0%	; --%	;1121	;Aumentar por22320.0%	; --%	;7	;Disminuir por99.3%	; --%	;158	;Aumentar por295.0%	; --%	;41	;Disminuir por85.6%	; --%	;
24	;(Miércoles)2025/12/24	;791	;Disminuir por17.8%	; --%	;712	;Disminuir por37.1%	; --%	;1022	;Aumentar por20340.0%	; --%	;5	;Disminuir por99.7%	; --%	;184	;Aumentar por475.0%	; --%	;56	;Disminuir por82.6%	; --%	;
25	;(Jueves)2025/12/25	;456	;Disminuir por36.3%	; --%	;448	;Disminuir por48.6%	; --%	;815	;Aumentar por20275.0%	; --%	;9	;Disminuir por99.3%	; --%	;34	;Disminuir por10.5%	; --%	;11	;Disminuir por96.7%	; --%	;
26	;(Viernes)2025/12/26	;913	;Disminuir por5.5%	; --%	;861	;Disminuir por13.3%	; --%	;1180	;Aumentar por42.5%	; --%	;5	;Disminuir por99.2%	; --%	;51	;Disminuir por71.3%	; --%	;23	;Disminuir por85.0%	; --%	;
27	;(Sábado)2025/12/27	;657	;Disminuir por48.5%	; --%	;616	;Disminuir por40.8%	; --%	;1291	;Disminuir por20.0%	; --%	;2	;Disminuir por77.8%	; --%	;32	;Disminuir por90.1%	; --%	;12	;Disminuir por68.4%	; --%	;
28	;(Domingo)2025/12/28	;1050	;Disminuir por36.4%	; --%	;952	;Disminuir por31.8%	; --%	;1130	;Disminuir por16.5%	; --%	;10	;Sin cambios	; --%	;61	;Disminuir por83.0%	; --%	;11	;Disminuir por87.1%	; --%	;
29	;(Lunes)2025/12/29	;1196	;Disminuir por51.4%	; --%	;1088	;Disminuir por48.0%	; --%	;1466	;Aumentar por27.3%	; --%	;8	;Aumentar por33.3%	; --%	;113	;Disminuir por68.6%	; --%	;27	;Disminuir por62.5%	; --%	;
30	;(Martes)2025/12/30	;1396	;Disminuir por26.4%	; --%	;1298	;Disminuir por31.2%	; --%	;1379	;Aumentar por11.3%	; --%	;7	;Aumentar por16.7%	; --%	;224	;Disminuir por38.0%	; --%	;42	;Disminuir por19.2%	; --%	;
31	;(Miércoles)2025/12/31	;1248	;Disminuir por28.9%	; --%	;1047	;Disminuir por32.5%	; --%	;1320	;Disminuir por15.5%	; --%	;4	;Sin cambios	; --%	;227	;Disminuir por42.1%	; --%	;49	;Disminuir por18.3%	; --%	;
