N.º	;Hora	;Personas	; 	; 	; 	; 	; 	;Vehículos a motor	; 	; 	; 	; 	; 	;Vehículos sin motor	;
	;	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
	;	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
13	;(Sábado)2025/12/13	;75	;Disminuir por31.2%	; --%	;55	;Disminuir por40.2%	; --%	;2027	;Disminuir por13.8%	; --%	;2013	;Disminuir por13.8%	; --%	;199	;Disminuir por37.0%	; --%	;253	;Disminuir por39.5%	; --%	;
14	;(Domingo)2025/12/14	;23	;Aumentar por666.7%	; --%	;16	;Aumentar por300.0%	; --%	;1104	;Aumentar por903.6%	; --%	;1107	;Aumentar por658.2%	; --%	;19	;Aumentar por375.0%	; --%	;35	;Aumentar por169.2%	; --%	;
15	;(Lunes)2025/12/15	;25	; --%	; --%	;29	; --%	; --%	;2085	; --%	; --%	;2035	; --%	; --%	;61	; --%	; --%	;70	; --%	; --%	;
16	;(Martes)2025/12/16	;40	; --%	; --%	;36	; --%	; --%	;2189	; --%	; --%	;2227	; --%	; --%	;88	; --%	; --%	;120	; --%	; --%	;
17	;(Miércoles)2025/12/17	;27	;Aumentar por8.0%	; --%	;20	;Disminuir por4.8%	; --%	;2131	;Aumentar por139.7%	; --%	;2027	;Aumentar por145.1%	; --%	;35	;Disminuir por35.2%	; --%	;51	;Disminuir por49.5%	; --%	;
18	;(Jueves)2025/12/18	;60	;Disminuir por22.1%	; --%	;67	;Disminuir por24.7%	; --%	;2252	;Disminuir por12.3%	; --%	;2345	;Disminuir por9.5%	; --%	;207	;Disminuir por26.3%	; --%	;295	;Disminuir por25.5%	; --%	;
19	;(Viernes)2025/12/19	;73	;Sin cambios	; --%	;59	;Disminuir por28.0%	; --%	;2437	;Disminuir por7.5%	; --%	;2443	;Disminuir por9.1%	; --%	;236	;Disminuir por14.2%	; --%	;317	;Disminuir por21.9%	; --%	;
20	;(Sábado)2025/12/20	;65	;Aumentar por8.3%	; --%	;52	;Aumentar por26.8%	; --%	;2140	;Disminuir por19.4%	; --%	;2028	;Disminuir por24.1%	; --%	;232	;Aumentar por16.0%	; --%	;270	;Aumentar por12.0%	; --%	;
21	;(Domingo)2025/12/21	;69	;Disminuir por30.3%	; --%	;46	;Disminuir por48.9%	; --%	;1458	;Disminuir por47.7%	; --%	;1465	;Disminuir por46.2%	; --%	;130	;Disminuir por57.7%	; --%	;189	;Disminuir por54.2%	; --%	;
22	;(Lunes)2025/12/22	;76	;Disminuir por6.2%	; --%	;54	;Aumentar por3.8%	; --%	;2476	;Aumentar por1.9%	; --%	;2347	;Disminuir por2.9%	; --%	;211	;Disminuir por24.4%	; --%	;338	;Disminuir por6.6%	; --%	;
23	;(Martes)2025/12/23	;66	;Disminuir por27.5%	; --%	;51	;Disminuir por32.0%	; --%	;2336	;Aumentar por36.9%	; --%	;2353	;Aumentar por27.8%	; --%	;222	;Disminuir por14.9%	; --%	;290	;Disminuir por13.9%	; --%	;
24	;(Miércoles)2025/12/24	;73	;Disminuir por21.5%	; --%	;62	;Disminuir por24.4%	; --%	;2004	;Disminuir por24.2%	; --%	;2068	;Disminuir por22.3%	; --%	;176	;Disminuir por54.3%	; --%	;254	;Disminuir por51.7%	; --%	;
25	;(Jueves)2025/12/25	;19	;Disminuir por79.8%	; --%	;21	;Disminuir por73.8%	; --%	;1186	;Disminuir por52.4%	; --%	;1251	;Disminuir por50.1%	; --%	;17	;Disminuir por94.8%	; --%	;32	;Disminuir por93.3%	; --%	;
26	;(Viernes)2025/12/26	;34	;Disminuir por38.2%	; --%	;26	;Disminuir por31.6%	; --%	;1822	;Disminuir por3.3%	; --%	;1921	;Disminuir por1.6%	; --%	;48	;Disminuir por78.9%	; --%	;63	;Disminuir por77.7%	; --%	;
27	;(Sábado)2025/12/27	;25	; --%	; --%	;17	; --%	; --%	;1533	; --%	; --%	;1533	; --%	; --%	;37	; --%	; --%	;48	; --%	; --%	;
28	;(Domingo)2025/12/28	;55	;Aumentar por31.0%	; --%	;45	;Sin cambios	; --%	;1387	;Aumentar por24.7%	; --%	;1251	;Aumentar por8.6%	; --%	;39	;Disminuir por58.1%	; --%	;56	;Disminuir por68.2%	; --%	;
29	;(Lunes)2025/12/29	;58	;Disminuir por38.9%	; --%	;57	;Disminuir por32.1%	; --%	;2070	;Disminuir por20.4%	; --%	;2125	;Disminuir por17.1%	; --%	;107	;Disminuir por66.8%	; --%	;154	;Disminuir por68.3%	; --%	;
30	;(Martes)2025/12/30	;79	;Disminuir por13.2%	; --%	;72	;Disminuir por20.0%	; --%	;2461	;Aumentar por37.8%	; --%	;2373	;Aumentar por30.8%	; --%	;277	;Disminuir por2.1%	; --%	;372	;Disminuir por11.8%	; --%	;
31	;(Miércoles)2025/12/31	;77	;Disminuir por30.6%	; --%	;73	;Disminuir por20.7%	; --%	;2161	;Disminuir por16.7%	; --%	;2130	;Disminuir por20.2%	; --%	;243	;Disminuir por38.9%	; --%	;317	;Disminuir por40.3%	; --%	;
32	;(Jueves)2026/01/01	;36	;Disminuir por64.7%	; --%	;48	;Disminuir por49.5%	; --%	;1332	;Disminuir por47.7%	; --%	;1400	;Disminuir por45.6%	; --%	;141	;Disminuir por51.7%	; --%	;189	;Disminuir por63.5%	; --%	;
33	;(Viernes)2026/01/02	;56	;Disminuir por45.6%	; --%	;57	;Disminuir por33.7%	; --%	;2287	;Disminuir por13.2%	; --%	;2251	;Disminuir por16.4%	; --%	;252	;Disminuir por14.3%	; --%	;284	;Disminuir por36.7%	; --%	;
34	;(Sábado)2026/01/03	;59	;Disminuir por43.3%	; --%	;75	;Disminuir por13.8%	; --%	;2054	;Disminuir por23.2%	; --%	;1999	;Disminuir por27.4%	; --%	;230	;Disminuir por19.6%	; --%	;269	;Disminuir por35.5%	; --%	;
35	;(Domingo)2026/01/04	;24	;Disminuir por78.4%	; --%	;17	;Disminuir por79.0%	; --%	;1158	;Disminuir por59.7%	; --%	;1179	;Disminuir por58.8%	; --%	;40	;Disminuir por87.8%	; --%	;61	;Disminuir por87.8%	; --%	;
36	;(Lunes)2026/01/05	;57	;Disminuir por52.5%	; --%	;53	;Disminuir por39.1%	; --%	;2032	;Disminuir por19.2%	; --%	;2106	;Disminuir por18.9%	; --%	;166	;Disminuir por46.6%	; --%	;197	;Disminuir por57.8%	; --%	;
37	;(Martes)2026/01/06	;33	;Disminuir por64.5%	; --%	;31	;Disminuir por67.0%	; --%	;1165	;Disminuir por33.6%	; --%	;1186	;Disminuir por33.9%	; --%	;88	;Disminuir por67.5%	; --%	;110	;Disminuir por69.6%	; --%	;
38	;(Miércoles)2026/01/07	;83	;Disminuir por20.2%	; --%	;73	;Disminuir por25.5%	; --%	;2182	;Disminuir por17.2%	; --%	;2234	;Disminuir por17.6%	; --%	;231	;Disminuir por29.4%	; --%	;284	;Disminuir por44.3%	; --%	;
39	;(Jueves)2026/01/08	;52	;Disminuir por41.6%	; --%	;53	;Disminuir por41.1%	; --%	;2150	;Disminuir por17.5%	; --%	;2131	;Disminuir por19.3%	; --%	;220	;Disminuir por33.9%	; --%	;314	;Disminuir por36.3%	; --%	;
40	;(Viernes)2026/01/09	;74	;Disminuir por20.4%	; --%	;59	;Disminuir por42.7%	; --%	;2247	;Disminuir por15.4%	; --%	;2228	;Disminuir por18.1%	; --%	;222	;Disminuir por16.9%	; --%	;297	;Disminuir por35.6%	; --%	;
41	;(Sábado)2026/01/10	;49	;Disminuir por51.5%	; --%	;57	;Disminuir por47.7%	; --%	;1747	;Disminuir por35.7%	; --%	;1732	;Disminuir por38.8%	; --%	;205	;Disminuir por11.6%	; --%	;294	;Disminuir por27.4%	; --%	;
42	;(Domingo)2026/01/11	;47	;Disminuir por54.4%	; --%	;48	;Disminuir por42.2%	; --%	;1136	;Disminuir por61.0%	; --%	;1182	;Disminuir por60.8%	; --%	;165	;Disminuir por42.5%	; --%	;220	;Disminuir por59.6%	; --%	;
43	;(Lunes)2026/01/12	;65	;Disminuir por31.6%	; --%	;74	;Disminuir por11.9%	; --%	;2206	;Disminuir por21.8%	; --%	;2217	;Disminuir por21.5%	; --%	;271	;Disminuir por13.4%	; --%	;405	;Disminuir por24.4%	; --%	;
44	;(Martes)2026/01/13	;67	;Disminuir por23.9%	; --%	;75	;Disminuir por13.8%	; --%	;2195	;Aumentar por14.9%	; --%	;2200	;Aumentar por7.6%	; --%	;260	;Disminuir por20.2%	; --%	;355	;Disminuir por22.8%	; --%	;
45	;(Miércoles)2026/01/14	;71	;Disminuir por31.1%	; --%	;67	;Disminuir por32.3%	; --%	;2092	;Disminuir por33.7%	; --%	;2123	;Disminuir por34.5%	; --%	;261	;Disminuir por35.6%	; --%	;336	;Disminuir por38.6%	; --%	;
46	;(Jueves)2026/01/15	;65	;Disminuir por34.3%	; --%	;67	;Disminuir por6.9%	; --%	;2181	;Disminuir por20.7%	; --%	;2157	;Disminuir por22.7%	; --%	;251	;Disminuir por25.7%	; --%	;351	;Disminuir por27.3%	; --%	;
47	;(Viernes)2026/01/16	;65	;Disminuir por32.3%	; --%	;57	;Disminuir por26.0%	; --%	;2219	;Disminuir por20.1%	; --%	;2281	;Disminuir por17.8%	; --%	;250	;Disminuir por19.6%	; --%	;366	;Disminuir por25.8%	; --%	;
48	;(Sábado)2026/01/17	;37	;Disminuir por48.6%	; --%	;35	;Disminuir por45.3%	; --%	;1596	;Disminuir por43.4%	; --%	;1519	;Disminuir por46.6%	; --%	;54	;Disminuir por84.6%	; --%	;67	;Disminuir por87.3%	; --%	;
49	;(Domingo)2026/01/18	;51	;Disminuir por44.6%	; --%	;60	;Disminuir por11.8%	; --%	;1169	;Disminuir por62.2%	; --%	;1182	;Disminuir por60.9%	; --%	;173	;Disminuir por54.4%	; --%	;206	;Disminuir por62.5%	; --%	;
50	;(Lunes)2026/01/19	;65	;Disminuir por39.8%	; --%	;55	;Disminuir por35.3%	; --%	;2155	;Disminuir por32.7%	; --%	;2143	;Disminuir por31.6%	; --%	;218	;Disminuir por40.6%	; --%	;277	;Disminuir por52.9%	; --%	;
51	;(Martes)2026/01/20	;31	;Disminuir por69.3%	; --%	;28	;Disminuir por67.1%	; --%	;2266	;Aumentar por1.7%	; --%	;2379	;Disminuir por5.5%	; --%	;50	;Disminuir por85.9%	; --%	;83	;Disminuir por82.8%	; --%	;
52	;(Miércoles)2026/01/21	;68	;Disminuir por45.6%	; --%	;53	;Disminuir por39.8%	; --%	;2466	;Disminuir por21.5%	; --%	;2664	;Disminuir por18.9%	; --%	;245	;Disminuir por40.0%	; --%	;320	;Disminuir por44.5%	; --%	;
53	;(Jueves)2026/01/22	;75	;Disminuir por19.4%	; --%	;59	;Disminuir por19.2%	; --%	;2329	;Disminuir por16.6%	; --%	;2309	;Disminuir por18.3%	; --%	;200	;Disminuir por42.9%	; --%	;300	;Disminuir por38.4%	; --%	;
54	;(Viernes)2026/01/23	;95	;Disminuir por18.8%	; --%	;81	;Disminuir por12.0%	; --%	;2335	;Disminuir por20.0%	; --%	;2320	;Disminuir por21.8%	; --%	;244	;Disminuir por37.9%	; --%	;351	;Disminuir por35.2%	; --%	;
55	;(Sábado)2026/01/24	;59	;Disminuir por50.0%	; --%	;58	;Disminuir por24.7%	; --%	;1953	;Disminuir por32.2%	; --%	;1941	;Disminuir por31.3%	; --%	;231	;Disminuir por35.1%	; --%	;265	;Disminuir por50.2%	; --%	;
56	;(Domingo)2026/01/25	;52	;Disminuir por49.5%	; --%	;63	;Disminuir por14.9%	; --%	;1279	;Disminuir por59.2%	; --%	;1357	;Disminuir por58.8%	; --%	;167	;Disminuir por61.9%	; --%	;232	;Disminuir por62.3%	; --%	;
57	;(Lunes)2026/01/26	;71	;Disminuir por39.8%	; --%	;56	;Disminuir por39.8%	; --%	;2249	;Disminuir por25.3%	; --%	;2227	;Disminuir por25.1%	; --%	;323	;Disminuir por17.2%	; --%	;426	;Disminuir por26.0%	; --%	;
58	;(Martes)2026/01/27	;65	;Disminuir por15.6%	; --%	;55	;Disminuir por8.3%	; --%	;2155	;Disminuir por0.8%	; --%	;2175	;Disminuir por5.8%	; --%	;177	;Disminuir por47.9%	; --%	;258	;Disminuir por49.6%	; --%	;
59	;(Miércoles)2026/01/28	;48	;Disminuir por52.5%	; --%	;45	;Disminuir por45.8%	; --%	;2151	;Disminuir por30.7%	; --%	;2209	;Disminuir por30.2%	; --%	;96	;Disminuir por72.4%	; --%	;146	;Disminuir por74.0%	; --%	;
60	;(Jueves)2026/01/29	;59	;Disminuir por49.6%	; --%	;41	;Disminuir por56.4%	; --%	;2177	;Disminuir por26.2%	; --%	;2238	;Disminuir por24.5%	; --%	;227	;Disminuir por45.6%	; --%	;305	;Disminuir por49.2%	; --%	;
61	;(Viernes)2026/01/30	;68	;Disminuir por34.0%	; --%	;63	;Disminuir por25.9%	; --%	;2319	;Disminuir por21.2%	; --%	;2337	;Disminuir por22.4%	; --%	;245	;Disminuir por20.2%	; --%	;360	;Disminuir por34.8%	; --%	;
62	;(Sábado)2026/01/31	;54	;Disminuir por45.5%	; --%	;53	;Disminuir por44.8%	; --%	;1802	;Disminuir por39.2%	; --%	;1736	;Disminuir por42.6%	; --%	;118	;Disminuir por66.9%	; --%	;167	;Disminuir por68.5%	; --%	;
63	;(Domingo)2026/02/01	;53	;Disminuir por55.8%	; --%	;51	;Disminuir por41.4%	; --%	;1184	;Disminuir por63.6%	; --%	;1204	;Disminuir por62.8%	; --%	;180	;Disminuir por50.3%	; --%	;230	;Disminuir por61.4%	; --%	;
64	;(Lunes)2026/02/02	;68	;Disminuir por46.0%	; --%	;42	;Disminuir por59.6%	; --%	;2265	;Disminuir por31.3%	; --%	;2315	;Disminuir por29.0%	; --%	;322	;Disminuir por13.7%	; --%	;452	;Disminuir por26.7%	; --%	;
65	;(Martes)2026/02/03	;63	;Disminuir por50.4%	; --%	;63	;Disminuir por46.6%	; --%	;2189	;Disminuir por4.2%	; --%	;2202	;Disminuir por2.5%	; --%	;256	;Disminuir por29.1%	; --%	;326	;Disminuir por34.8%	; --%	;
66	;(Miércoles)2026/02/04	;73	;Aumentar por58.7%	; --%	;53	;Aumentar por47.2%	; --%	;2161	;Aumentar por66.6%	; --%	;2194	;Aumentar por84.5%	; --%	;211	;Aumentar por59.8%	; --%	;303	;Aumentar por62.0%	; --%	;
67	;(Jueves)2026/02/05	;56	;Disminuir por44.0%	; --%	;54	;Disminuir por55.0%	; --%	;2205	;Disminuir por23.0%	; --%	;2268	;Disminuir por26.5%	; --%	;203	;Disminuir por41.7%	; --%	;304	;Disminuir por46.9%	; --%	;
68	;(Viernes)2026/02/06	;64	;Disminuir por45.8%	; --%	;68	;Disminuir por39.8%	; --%	;2259	;Disminuir por30.8%	; --%	;2285	;Disminuir por31.3%	; --%	;279	;Disminuir por19.4%	; --%	;417	;Disminuir por30.7%	; --%	;
69	;(Sábado)2026/02/07	;64	;Disminuir por42.3%	; --%	;66	;Disminuir por39.4%	; --%	;1892	;Disminuir por40.3%	; --%	;1866	;Disminuir por42.5%	; --%	;288	;Disminuir por10.3%	; --%	;391	;Disminuir por32.2%	; --%	;
70	;(Domingo)2026/02/08	;54	;Disminuir por56.5%	; --%	;50	;Disminuir por45.7%	; --%	;1242	;Disminuir por63.3%	; --%	;1369	;Disminuir por59.4%	; --%	;156	;Disminuir por52.4%	; --%	;225	;Disminuir por61.3%	; --%	;
71	;(Lunes)2026/02/09	;82	;Disminuir por37.4%	; --%	;60	;Disminuir por54.9%	; --%	;2265	;Disminuir por31.3%	; --%	;2283	;Disminuir por29.0%	; --%	;390	;Aumentar por24.6%	; --%	;510	;Disminuir por8.8%	; --%	;
72	;(Martes)2026/02/10	;59	;Disminuir por44.3%	; --%	;54	;Disminuir por44.9%	; --%	;2193	;Disminuir por9.7%	; --%	;2219	;Disminuir por14.2%	; --%	;297	;Disminuir por7.5%	; --%	;369	;Disminuir por26.9%	; --%	;
73	;(Miércoles)2026/02/11	;58	;Disminuir por44.8%	; --%	;61	;Disminuir por39.0%	; --%	;2232	;Disminuir por32.9%	; --%	;2246	;Disminuir por32.3%	; --%	;302	;Disminuir por0.3%	; --%	;443	;Disminuir por23.6%	; --%	;
74	;(Jueves)2026/02/12	;59	;Disminuir por32.2%	; --%	;64	;Disminuir por14.7%	; --%	;2211	;Aumentar por6.2%	; --%	;2317	;Aumentar por6.7%	; --%	;190	;Disminuir por6.4%	; --%	;320	;Disminuir por10.6%	; --%	;
75	;(Viernes)2026/02/13	;56	;Disminuir por9.7%	; --%	;39	;Disminuir por31.6%	; --%	;2508	;Aumentar por18.1%	; --%	;2532	;Aumentar por21.8%	; --%	;215	;Aumentar por27.2%	; --%	;273	;Disminuir por13.3%	; --%	;
76	;(Sábado)2026/02/14	;16	;Disminuir por88.1%	; --%	;19	;Disminuir por83.0%	; --%	;1191	;Disminuir por64.0%	; --%	;1202	;Disminuir por64.7%	; --%	;11	;Disminuir por97.0%	; --%	;17	;Disminuir por97.2%	; --%	;
77	;(Domingo)2026/02/15	;48	;Disminuir por67.6%	; --%	;61	;Disminuir por48.3%	; --%	;1318	;Disminuir por62.9%	; --%	;1371	;Disminuir por61.0%	; --%	;151	;Disminuir por63.7%	; --%	;218	;Disminuir por66.1%	; --%	;
78	;(Lunes)2026/02/16	;82	;Disminuir por47.8%	; --%	;77	;Disminuir por32.5%	; --%	;2336	;Disminuir por34.0%	; --%	;2465	;Disminuir por28.6%	; --%	;411	;Aumentar por0.7%	; --%	;587	;Aumentar por4.3%	; --%	;
79	;(Martes)2026/02/17	;83	;Disminuir por43.9%	; --%	;72	;Disminuir por46.3%	; --%	;2321	;Disminuir por14.9%	; --%	;2263	;Disminuir por17.7%	; --%	;316	;Disminuir por9.5%	; --%	;450	;Disminuir por21.9%	; --%	;
80	;(Miércoles)2026/02/18	;65	;Disminuir por60.8%	; --%	;74	;Disminuir por43.9%	; --%	;2278	;Disminuir por36.4%	; --%	;2213	;Disminuir por37.5%	; --%	;280	;Disminuir por18.8%	; --%	;351	;Disminuir por44.1%	; --%	;
81	;(Jueves)2026/02/19	;77	;Disminuir por59.5%	; --%	;56	;Disminuir por65.4%	; --%	;2243	;Disminuir por36.0%	; --%	;2241	;Disminuir por36.7%	; --%	;176	;Disminuir por53.9%	; --%	;268	;Disminuir por60.2%	; --%	;
82	;(Viernes)2026/02/20	;95	;Disminuir por18.1%	; --%	;65	;Disminuir por34.3%	; --%	;2482	;Disminuir por30.5%	; --%	;2341	;Disminuir por37.0%	; --%	;225	;Aumentar por25.0%	; --%	;362	;Aumentar por46.6%	; --%	;
83	;(Sábado)2026/02/21	;96	;Disminuir por42.5%	; --%	;88	;Disminuir por30.2%	; --%	;2121	;Disminuir por35.9%	; --%	;2004	;Disminuir por39.9%	; --%	;338	;Disminuir por28.7%	; --%	;438	;Disminuir por28.3%	; --%	;
84	;(Domingo)2026/02/22	;79	;Disminuir por48.0%	; --%	;67	;Disminuir por51.8%	; --%	;1361	;Disminuir por62.0%	; --%	;1215	;Disminuir por67.6%	; --%	;198	;Disminuir por34.2%	; --%	;261	;Disminuir por45.1%	; --%	;
85	;(Lunes)2026/02/23	;86	;Disminuir por24.6%	; --%	;79	;Disminuir por24.0%	; --%	;2350	;Disminuir por31.4%	; --%	;2260	;Disminuir por31.7%	; --%	;351	;Aumentar por84.7%	; --%	;505	;Aumentar por79.1%	; --%	;
86	;(Martes)2026/02/24	;73	;Disminuir por59.4%	; --%	;76	;Disminuir por49.7%	; --%	;2216	;Disminuir por18.6%	; --%	;2194	;Disminuir por22.1%	; --%	;293	;Disminuir por18.6%	; --%	;399	;Disminuir por25.4%	; --%	;
87	;(Miércoles)2026/02/25	;68	;Disminuir por53.7%	; --%	;59	;Disminuir por52.0%	; --%	;2287	;Disminuir por37.4%	; --%	;2215	;Disminuir por40.5%	; --%	;213	;Disminuir por40.8%	; --%	;295	;Disminuir por53.0%	; --%	;
88	;(Jueves)2026/02/26	;59	;Disminuir por63.6%	; --%	;55	;Disminuir por61.8%	; --%	;2299	;Disminuir por33.7%	; --%	;2272	;Disminuir por34.6%	; --%	;260	;Disminuir por23.1%	; --%	;384	;Disminuir por36.7%	; --%	;
89	;(Viernes)2026/02/27	;70	;Disminuir por60.2%	; --%	;69	;Disminuir por59.6%	; --%	;2552	;Disminuir por27.3%	; --%	;2396	;Disminuir por32.0%	; --%	;281	;Disminuir por12.5%	; --%	;356	;Disminuir por43.6%	; --%	;
90	;(Sábado)2026/02/28	;58	;Disminuir por67.0%	; --%	;46	;Disminuir por64.6%	; --%	;1987	;Disminuir por44.3%	; --%	;1860	;Disminuir por49.1%	; --%	;273	;Disminuir por32.8%	; --%	;357	;Disminuir por43.9%	; --%	;
91	;(Domingo)2026/03/01	;66	;Disminuir por63.5%	; --%	;78	;Disminuir por50.3%	; --%	;1454	;Disminuir por60.5%	; --%	;1340	;Disminuir por64.4%	; --%	;246	;Disminuir por44.7%	; --%	;302	;Disminuir por54.3%	; --%	;
92	;(Lunes)2026/03/02	;53	;Disminuir por69.9%	; --%	;44	;Disminuir por71.8%	; --%	;2391	;Disminuir por37.5%	; --%	;2259	;Disminuir por40.4%	; --%	;291	;Disminuir por31.5%	; --%	;374	;Disminuir por42.9%	; --%	;
93	;(Martes)2026/03/03	;14	;Disminuir por92.2%	; --%	;17	;Disminuir por89.2%	; --%	;1171	;Disminuir por61.9%	; --%	;1031	;Disminuir por66.8%	; --%	;87	;Disminuir por77.3%	; --%	;123	;Disminuir por80.0%	; --%	;
94	;(Miércoles)2026/03/04	;32	;Disminuir por83.3%	; --%	;22	;Disminuir por86.4%	; --%	;2104	;Disminuir por47.4%	; --%	;2054	;Disminuir por48.4%	; --%	;86	;Disminuir por79.6%	; --%	;122	;Disminuir por83.8%	; --%	;
