N.º	;Hora	;Personas	; 	; 	; 	; 	; 	;Vehículos a motor	; 	; 	; 	; 	; 	;Vehículos sin motor	;
	;	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
	;	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
13	;(Sábado)2025/12/13	;7492	;Disminuir por34.5%	; --%	;7712	;Disminuir por40.9%	; --%	;193	;Disminuir por34.8%	; --%	;73	;Disminuir por47.1%	; --%	;178	;Disminuir por50.6%	; --%	;176	;Disminuir por52.7%	; --%	;
14	;(Domingo)2025/12/14	;1075	;Disminuir por90.3%	; --%	;795	;Disminuir por93.1%	; --%	;334	;Disminuir por43.6%	; --%	;174	;Disminuir por45.5%	; --%	;46	;Disminuir por78.5%	; --%	;40	;Disminuir por80.8%	; --%	;
15	;(Lunes)2025/12/15	;622	;Disminuir por95.6%	; --%	;604	;Disminuir por96.1%	; --%	;382	;Aumentar por24.0%	; --%	;161	;Aumentar por21.1%	; --%	;28	;Disminuir por94.5%	; --%	;25	;Disminuir por93.9%	; --%	;
16	;(Martes)2025/12/16	;616	;Disminuir por92.5%	; --%	;587	;Disminuir por92.6%	; --%	;368	;Aumentar por14.6%	; --%	;145	;Disminuir por9.4%	; --%	;79	;Disminuir por81.3%	; --%	;40	;Disminuir por87.5%	; --%	;
17	;(Miércoles)2025/12/17	;443	;Disminuir por87.5%	; --%	;410	;Disminuir por87.5%	; --%	;449	;Disminuir por13.2%	; --%	;187	;Disminuir por23.7%	; --%	;17	;Disminuir por93.9%	; --%	;20	;Disminuir por89.1%	; --%	;
18	;(Jueves)2025/12/18	;1275	;Disminuir por57.8%	; --%	;1236	;Disminuir por56.2%	; --%	;414	;Disminuir por22.6%	; --%	;158	;Disminuir por40.8%	; --%	;154	;Disminuir por43.4%	; --%	;115	;Disminuir por36.1%	; --%	;
19	;(Viernes)2025/12/19	;2501	;Disminuir por13.9%	; --%	;2538	;Disminuir por6.9%	; --%	;409	;Disminuir por19.2%	; --%	;170	;Disminuir por26.7%	; --%	;165	;Disminuir por34.0%	; --%	;151	;Disminuir por11.2%	; --%	;
20	;(Sábado)2025/12/20	;7290	;Aumentar por211.8%	; --%	;7426	;Aumentar por229.8%	; --%	;216	;Disminuir por62.6%	; --%	;81	;Disminuir por69.8%	; --%	;204	;Aumentar por26.7%	; --%	;184	;Aumentar por72.0%	; --%	;
21	;(Domingo)2025/12/21	;5892	;Aumentar por42.8%	; --%	;5567	;Aumentar por29.7%	; --%	;158	;Disminuir por65.5%	; --%	;53	;Disminuir por74.0%	; --%	;166	;Disminuir por46.5%	; --%	;175	;Disminuir por1.1%	; --%	;
22	;(Lunes)2025/12/22	;2093	;Disminuir por65.2%	; --%	;2023	;Disminuir por68.4%	; --%	;369	;Disminuir por3.4%	; --%	;150	;Disminuir por27.2%	; --%	;134	;Disminuir por51.1%	; --%	;106	;Disminuir por53.1%	; --%	;
23	;(Martes)2025/12/23	;2112	;Disminuir por66.7%	; --%	;2033	;Disminuir por66.7%	; --%	;397	;Aumentar por31.5%	; --%	;167	;Aumentar por17.6%	; --%	;137	;Disminuir por52.6%	; --%	;116	;Disminuir por46.0%	; --%	;
24	;(Miércoles)2025/12/24	;1986	;Disminuir por45.4%	; --%	;2064	;Disminuir por41.5%	; --%	;354	;Disminuir por30.6%	; --%	;149	;Disminuir por37.1%	; --%	;133	;Disminuir por73.1%	; --%	;110	;Disminuir por67.8%	; --%	;
25	;(Jueves)2025/12/25	;1422	;Disminuir por47.3%	; --%	;1363	;Disminuir por46.6%	; --%	;235	;Disminuir por61.5%	; --%	;76	;Disminuir por79.5%	; --%	;23	;Disminuir por90.9%	; --%	;26	;Disminuir por83.6%	; --%	;
26	;(Viernes)2025/12/26	;3382	;Aumentar por3.6%	; --%	;3489	;Aumentar por2.7%	; --%	;345	;Disminuir por30.0%	; --%	;174	;Disminuir por30.7%	; --%	;57	;Disminuir por78.4%	; --%	;65	;Disminuir por65.1%	; --%	;
27	;(Sábado)2025/12/27	;1899	;Disminuir por50.1%	; --%	;1994	;Disminuir por48.5%	; --%	;353	;Disminuir por37.7%	; --%	;176	;Disminuir por34.6%	; --%	;20	;Disminuir por93.7%	; --%	;35	;Disminuir por85.9%	; --%	;
28	;(Domingo)2025/12/28	;5681	;Disminuir por3.1%	; --%	;5345	;Disminuir por12.6%	; --%	;113	;Disminuir por79.3%	; --%	;76	;Disminuir por70.0%	; --%	;85	;Disminuir por81.8%	; --%	;125	;Disminuir por66.9%	; --%	;
29	;(Lunes)2025/12/29	;4829	;Disminuir por52.2%	; --%	;4309	;Disminuir por58.6%	; --%	;230	;Disminuir por11.5%	; --%	;122	;Disminuir por3.9%	; --%	;59	;Disminuir por84.6%	; --%	;93	;Disminuir por69.5%	; --%	;
30	;(Martes)2025/12/30	;7248	;Disminuir por6.6%	; --%	;6613	;Disminuir por9.6%	; --%	;258	;Aumentar por1.2%	; --%	;130	;Disminuir por3.7%	; --%	;172	;Disminuir por56.7%	; --%	;195	;Disminuir por36.7%	; --%	;
31	;(Miércoles)2025/12/31	;5404	;Aumentar por26.3%	; --%	;6261	;Aumentar por59.9%	; --%	;181	;Disminuir por62.8%	; --%	;121	;Disminuir por52.5%	; --%	;142	;Disminuir por63.3%	; --%	;211	;Disminuir por14.6%	; --%	;
32	;(Jueves)2026/01/01	;8529	;Aumentar por106.6%	; --%	;7549	;Aumentar por100.7%	; --%	;115	;Disminuir por77.8%	; --%	;89	;Disminuir por66.2%	; --%	;125	;Disminuir por63.6%	; --%	;154	;Disminuir por38.2%	; --%	;
33	;(Viernes)2026/01/02	;5809	;Aumentar por45.8%	; --%	;5662	;Aumentar por45.2%	; --%	;326	;Disminuir por37.1%	; --%	;150	;Disminuir por38.8%	; --%	;151	;Disminuir por57.8%	; --%	;149	;Disminuir por41.3%	; --%	;
34	;(Sábado)2026/01/03	;5231	;Aumentar por42.2%	; --%	;5055	;Aumentar por32.2%	; --%	;271	;Disminuir por46.9%	; --%	;116	;Disminuir por52.8%	; --%	;119	;Disminuir por61.6%	; --%	;125	;Disminuir por34.2%	; --%	;
35	;(Domingo)2026/01/04	;2226	;Disminuir por57.5%	; --%	;2256	;Disminuir por60.4%	; --%	;244	;Disminuir por56.4%	; --%	;124	;Disminuir por54.4%	; --%	;57	;Disminuir por87.2%	; --%	;64	;Disminuir por80.5%	; --%	;
