N.º	;Hora	;Personas	; 	; 	; 	; 	; 	;Vehículos a motor	; 	; 	; 	; 	; 	;Vehículos sin motor	;
	;	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
	;	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
13	;(Sábado)2025/12/13	;5544	;Disminuir por24.4%	; --%	;2614	;Disminuir por47.4%	; --%	;121	;Disminuir por4.7%	; --%	;7	;Aumentar por16.7%	; --%	;68	;Disminuir por33.3%	; --%	;14	;Disminuir por48.1%	; --%	;
14	;(Domingo)2025/12/14	;678	;Disminuir por90.2%	; --%	;537	;Disminuir por89.4%	; --%	;191	;Aumentar por3.2%	; --%	;35	;Aumentar por483.3%	; --%	;9	;Disminuir por90.3%	; --%	;2	;Disminuir por88.9%	; --%	;
15	;(Lunes)2025/12/15	;296	;Disminuir por95.6%	; --%	;273	;Disminuir por94.7%	; --%	;195	;Aumentar por27.5%	; --%	;14	;Aumentar por40.0%	; --%	;9	;Disminuir por93.1%	; --%	;3	;Disminuir por89.3%	; --%	;
16	;(Martes)2025/12/16	;343	;Disminuir por89.4%	; --%	;191	;Disminuir por92.1%	; --%	;207	;Aumentar por4.5%	; --%	;1	;Disminuir por97.6%	; --%	;27	;Disminuir por71.6%	; --%	;3	;Disminuir por88.5%	; --%	;
17	;(Miércoles)2025/12/17	;228	;Disminuir por85.8%	; --%	;192	;Disminuir por83.4%	; --%	;221	;Disminuir por20.8%	; --%	;2	;Disminuir por93.3%	; --%	;4	;Disminuir por95.9%	; --%	;3	;Disminuir por62.5%	; --%	;
18	;(Jueves)2025/12/18	;811	;Disminuir por61.0%	; --%	;485	;Disminuir por61.7%	; --%	;225	;Disminuir por29.9%	; --%	;14	;Disminuir por82.7%	; --%	;43	;Disminuir por56.1%	; --%	;10	;Disminuir por16.7%	; --%	;
19	;(Viernes)2025/12/19	;1207	;Disminuir por25.4%	; --%	;604	;Disminuir por49.1%	; --%	;228	;Disminuir por16.2%	; --%	;4	;Disminuir por89.7%	; --%	;56	;Disminuir por43.4%	; --%	;23	;Aumentar por91.7%	; --%	;
20	;(Sábado)2025/12/20	;3809	;Aumentar por129.3%	; --%	;2206	;Aumentar por95.9%	; --%	;130	;Disminuir por58.6%	; --%	;4	;Disminuir por91.3%	; --%	;57	;Disminuir por13.6%	; --%	;12	;Aumentar por71.4%	; --%	;
21	;(Domingo)2025/12/21	;3426	;Aumentar por39.4%	; --%	;1917	;Aumentar por12.6%	; --%	;107	;Disminuir por61.9%	; --%	;0	;Disminuir por100.0%	; --%	;50	;Disminuir por56.1%	; --%	;10	;Disminuir por47.4%	; --%	;
22	;(Lunes)2025/12/22	;1540	;Disminuir por53.1%	; --%	;1039	;Disminuir por58.5%	; --%	;197	;Aumentar por18.7%	; --%	;2	;Disminuir por71.4%	; --%	;46	;Disminuir por50.5%	; --%	;14	;Disminuir por39.1%	; --%	;
23	;(Martes)2025/12/23	;1391	;Disminuir por55.5%	; --%	;777	;Disminuir por63.3%	; --%	;217	;Aumentar por64.4%	; --%	;2	;Disminuir por50.0%	; --%	;37	;Disminuir por41.3%	; --%	;9	;Disminuir por59.1%	; --%	;
24	;(Miércoles)2025/12/24	;1157	;Disminuir por29.0%	; --%	;781	;Disminuir por30.2%	; --%	;199	;Disminuir por19.8%	; --%	;33	;Aumentar por26.9%	; --%	;31	;Disminuir por67.0%	; --%	;10	;Disminuir por41.2%	; --%	;
25	;(Jueves)2025/12/25	;1085	;Disminuir por38.3%	; --%	;537	;Disminuir por55.7%	; --%	;135	;Disminuir por36.3%	; --%	;1	;Disminuir por96.6%	; --%	;11	;Disminuir por87.6%	; --%	;4	;Disminuir por63.6%	; --%	;
26	;(Viernes)2025/12/26	;2314	;Aumentar por24.7%	; --%	;1374	;Disminuir por2.6%	; --%	;165	;Disminuir por25.7%	; --%	;8	;Disminuir por57.9%	; --%	;15	;Disminuir por81.9%	; --%	;11	;Disminuir por8.3%	; --%	;
27	;(Sábado)2025/12/27	;860	;Disminuir por56.7%	; --%	;661	;Disminuir por50.8%	; --%	;195	;Disminuir por35.0%	; --%	;36	;Aumentar por80.0%	; --%	;6	;Disminuir por94.9%	; --%	;3	;Disminuir por78.6%	; --%	;
28	;(Domingo)2025/12/28	;3272	;Aumentar por25.9%	; --%	;1595	;Disminuir por16.9%	; --%	;121	;Disminuir por60.1%	; --%	;39	;Aumentar por30.0%	; --%	;13	;Disminuir por89.0%	; --%	;10	;Disminuir por28.6%	; --%	;
29	;(Lunes)2025/12/29	;2410	;Disminuir por48.9%	; --%	;1171	;Disminuir por64.1%	; --%	;158	;Aumentar por12.1%	; --%	;2	;Disminuir por84.6%	; --%	;25	;Disminuir por77.9%	; --%	;10	;Disminuir por33.3%	; --%	;
30	;(Martes)2025/12/30	;4508	;Aumentar por41.4%	; --%	;2026	;Disminuir por11.5%	; --%	;160	;Aumentar por24.0%	; --%	;7	;Disminuir por63.2%	; --%	;48	;Disminuir por45.5%	; --%	;26	;Aumentar por18.2%	; --%	;
31	;(Miércoles)2025/12/31	;3361	;Aumentar por75.1%	; --%	;1848	;Aumentar por60.6%	; --%	;129	;Disminuir por44.4%	; --%	;9	;Disminuir por69.0%	; --%	;47	;Disminuir por61.8%	; --%	;21	;Aumentar por61.5%	; --%	;
32	;(Jueves)2026/01/01	;5049	;Aumentar por150.6%	; --%	;2541	;Aumentar por111.2%	; --%	;66	;Disminuir por82.9%	; --%	;3	;Disminuir por97.2%	; --%	;32	;Disminuir por72.2%	; --%	;24	;Aumentar por41.2%	; --%	;
33	;(Viernes)2026/01/02	;4145	;Aumentar por136.2%	; --%	;2783	;Aumentar por132.5%	; --%	;182	;Disminuir por53.8%	; --%	;3	;Disminuir por97.8%	; --%	;44	;Disminuir por60.4%	; --%	;22	;Aumentar por120.0%	; --%	;
34	;(Sábado)2026/01/03	;3973	;Aumentar por119.1%	; --%	;2515	;Aumentar por88.0%	; --%	;154	;Disminuir por46.2%	; --%	;1	;Disminuir por98.5%	; --%	;51	;Disminuir por58.2%	; --%	;26	;Aumentar por73.3%	; --%	;
35	;(Domingo)2026/01/04	;1473	;Disminuir por35.2%	; --%	;955	;Disminuir por42.8%	; --%	;96	;Disminuir por75.3%	; --%	;1	;Disminuir por98.9%	; --%	;14	;Disminuir por89.1%	; --%	;7	;Disminuir por30.0%	; --%	;
36	;(Lunes)2026/01/05	;661	;Disminuir por84.8%	; --%	;364	;Disminuir por89.0%	; --%	;170	;Disminuir por1.7%	; --%	;2	;Disminuir por93.1%	; --%	;19	;Disminuir por82.7%	; --%	;2	;Disminuir por92.3%	; --%	;
37	;(Martes)2026/01/06	;1128	;Disminuir por67.5%	; --%	;760	;Disminuir por66.5%	; --%	;125	;Disminuir por20.9%	; --%	;30	;Disminuir por36.2%	; --%	;16	;Disminuir por81.2%	; --%	;7	;Disminuir por68.2%	; --%	;
38	;(Miércoles)2026/01/07	;529	;Disminuir por74.9%	; --%	;359	;Disminuir por71.1%	; --%	;256	;Aumentar por8.0%	; --%	;72	;Aumentar por188.0%	; --%	;29	;Disminuir por74.1%	; --%	;8	;Sin cambios	; --%	;
39	;(Jueves)2026/01/08	;491	;Disminuir por75.9%	; --%	;347	;Disminuir por76.2%	; --%	;222	;Disminuir por25.5%	; --%	;56	;Disminuir por8.2%	; --%	;44	;Disminuir por66.2%	; --%	;6	;Disminuir por45.5%	; --%	;
40	;(Viernes)2026/01/09	;576	;Disminuir por71.8%	; --%	;392	;Disminuir por70.5%	; --%	;393	;Aumentar por14.6%	; --%	;169	;Aumentar por69.0%	; --%	;39	;Disminuir por64.5%	; --%	;20	;Sin cambios	; --%	;
41	;(Sábado)2026/01/10	;1298	;Disminuir por39.1%	; --%	;836	;Disminuir por45.5%	; --%	;221	;Disminuir por42.4%	; --%	;86	;Sin cambios	; --%	;43	;Disminuir por61.9%	; --%	;10	;Disminuir por52.4%	; --%	;
42	;(Domingo)2026/01/11	;1100	;Disminuir por56.7%	; --%	;669	;Disminuir por63.5%	; --%	;119	;Disminuir por57.5%	; --%	;14	;Disminuir por56.3%	; --%	;33	;Disminuir por77.4%	; --%	;16	;Aumentar por23.1%	; --%	;
43	;(Lunes)2026/01/12	;397	;Disminuir por91.1%	; --%	;237	;Disminuir por92.4%	; --%	;211	;Aumentar por37.0%	; --%	;4	;Disminuir por42.9%	; --%	;39	;Disminuir por65.5%	; --%	;13	;Disminuir por31.6%	; --%	;
44	;(Martes)2026/01/13	;404	;Disminuir por89.2%	; --%	;298	;Disminuir por88.7%	; --%	;203	;Aumentar por116.0%	; --%	;4	;Aumentar por33.3%	; --%	;49	;Disminuir por55.0%	; --%	;13	;Aumentar por8.3%	; --%	;
45	;(Miércoles)2026/01/14	;467	;Disminuir por77.3%	; --%	;254	;Disminuir por81.7%	; --%	;214	;Disminuir por1.4%	; --%	;10	;Aumentar por42.9%	; --%	;48	;Disminuir por56.8%	; --%	;7	;Disminuir por30.0%	; --%	;
46	;(Jueves)2026/01/15	;404	;Disminuir por79.9%	; --%	;285	;Disminuir por80.6%	; --%	;205	;Disminuir por14.2%	; --%	;2	;Disminuir por77.8%	; --%	;62	;Disminuir por46.1%	; --%	;7	;Disminuir por50.0%	; --%	;
47	;(Viernes)2026/01/16	;390	;Disminuir por79.8%	; --%	;293	;Disminuir por79.1%	; --%	;210	;Disminuir por17.3%	; --%	;4	;Disminuir por77.8%	; --%	;58	;Disminuir por52.1%	; --%	;8	;Disminuir por27.3%	; --%	;
48	;(Sábado)2026/01/17	;551	;Disminuir por72.1%	; --%	;409	;Disminuir por73.5%	; --%	;192	;Disminuir por24.1%	; --%	;7	;Disminuir por58.8%	; --%	;3	;Disminuir por97.5%	; --%	;3	;Disminuir por81.3%	; --%	;
49	;(Domingo)2026/01/18	;934	;Disminuir por66.9%	; --%	;598	;Disminuir por70.7%	; --%	;67	;Disminuir por72.7%	; --%	;0	;Disminuir por100.0%	; --%	;29	;Disminuir por78.4%	; --%	;6	;Disminuir por53.8%	; --%	;
