N.º	;Hora	;Personas	; 	; 	; 	; 	; 	;Vehículos a motor	; 	; 	; 	; 	; 	;Vehículos sin motor	;
	;	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
	;	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
13	;(Sábado)2025/12/13	;74	;Disminuir por45.2%	; --%	;57	;Disminuir por40.6%	; --%	;2070	;Disminuir por17.6%	; --%	;1676	;Disminuir por25.5%	; --%	;233	;Disminuir por47.9%	; --%	;162	;Disminuir por58.6%	; --%	;
14	;(Domingo)2025/12/14	;29	;Disminuir por68.5%	; --%	;22	;Disminuir por71.4%	; --%	;1153	;Disminuir por69.7%	; --%	;960	;Disminuir por71.0%	; --%	;29	;Disminuir por89.5%	; --%	;19	;Disminuir por91.1%	; --%	;
15	;(Lunes)2025/12/15	;29	;Disminuir por78.5%	; --%	;15	;Disminuir por86.0%	; --%	;2146	;Disminuir por27.4%	; --%	;1556	;Disminuir por42.8%	; --%	;64	;Disminuir por89.8%	; --%	;47	;Disminuir por90.1%	; --%	;
16	;(Martes)2025/12/16	;43	;Disminuir por54.3%	; --%	;32	;Disminuir por54.9%	; --%	;2392	;Aumentar por13.3%	; --%	;1700	;Disminuir por14.8%	; --%	;103	;Disminuir por74.6%	; --%	;64	;Disminuir por80.5%	; --%	;
17	;(Miércoles)2025/12/17	;11	;Disminuir por87.1%	; --%	;6	;Disminuir por91.9%	; --%	;2191	;Disminuir por24.6%	; --%	;1604	;Disminuir por36.2%	; --%	;36	;Disminuir por91.5%	; --%	;18	;Disminuir por94.0%	; --%	;
18	;(Jueves)2025/12/18	;67	;Disminuir por23.0%	; --%	;47	;Disminuir por43.4%	; --%	;2522	;Disminuir por10.5%	; --%	;1506	;Disminuir por37.4%	; --%	;237	;Disminuir por43.8%	; --%	;174	;Disminuir por48.8%	; --%	;
19	;(Viernes)2025/12/19	;93	;Disminuir por1.1%	; --%	;58	;Disminuir por14.7%	; --%	;2643	;Disminuir por9.6%	; --%	;1738	;Disminuir por30.9%	; --%	;250	;Disminuir por42.7%	; --%	;168	;Disminuir por43.8%	; --%	;
20	;(Sábado)2025/12/20	;73	;Aumentar por37.7%	; --%	;52	;Disminuir por10.3%	; --%	;2054	;Disminuir por29.8%	; --%	;1476	;Disminuir por41.5%	; --%	;213	;Disminuir por12.7%	; --%	;186	;Disminuir por13.1%	; --%	;
21	;(Domingo)2025/12/21	;58	;Disminuir por43.1%	; --%	;60	;Disminuir por36.8%	; --%	;1549	;Disminuir por46.2%	; --%	;1171	;Disminuir por54.1%	; --%	;177	;Disminuir por56.5%	; --%	;133	;Disminuir por66.3%	; --%	;
22	;(Lunes)2025/12/22	;83	;Aumentar por2.5%	; --%	;45	;Disminuir por37.5%	; --%	;2475	;Disminuir por0.8%	; --%	;1618	;Disminuir por29.4%	; --%	;258	;Disminuir por17.0%	; --%	;172	;Disminuir por34.6%	; --%	;
