Análisis de tipo multiobjetivo	;
Información básica	;
Hora de exportación: 2026/08/11 10:06:17	;
Operador: Touristcheck	;
Objetivo de estadísticas: C Saiz De Carlos	;
Exportar contenido:Número de personas,Vehículos a motor,Vehículos sin motor	;
Hora del informe: 2026/06/01 00:00:00 - 2026/08/31 23:59:59	;

Personas totales	; 	; 	; 	; 	; 	;Total de vehículos a motor	; 	; 	; 	; 	; 	;Total de vehículos sin motor	;
Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
448783	;Aumentar por148.7%	;Disminuir por14.0%	;274829	;Aumentar por251.6%	;Disminuir por13.1%	;757	;Aumentar por169.4%	;Disminuir por52.1%	;3317	;Disminuir por8.1%	;Disminuir por26.9%	;8592	;Aumentar por253.6%	;Aumentar por10.8%	;13714	;Aumentar por188.8%	;Aumentar por16.2%	;

N.º	;Hora	;Personas	; 	; 	; 	; 	; 	;Vehículos a motor	; 	; 	; 	; 	; 	;Vehículos sin motor	;
	;	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
	;	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
911	;07/08 22:00 - 23:00	;1370	;Aumentar por3013.6%	;Disminuir por9.1%	;1036	;Aumentar por3137.5%	;Disminuir por4.2%	;0	; --%	; --%	;0	; --%	; --%	;37	; --%	;Disminuir por35.1%	;23	;Aumentar por2200.0%	;Disminuir por62.9%	;
912	;07/08 23:00 - 24:00	;791	;Aumentar por6491.7%	;Aumentar por45.7%	;637	;Aumentar por15825.0%	;Aumentar por108.2%	;0	; --%	; --%	;0	;Disminuir por100.0%	; --%	;1	;Sin cambios	;Disminuir por88.9%	;2	; --%	;Disminuir por77.8%	;
913	;07/09 00:00 - 01:00	;129	;Aumentar por6350.0%	;Disminuir por34.5%	;77	; --%	;Disminuir por28.7%	;0	; --%	; --%	;0	; --%	; --%	;0	; --%	; --%	;1	; --%	;Sin cambios	;
914	;07/09 01:00 - 02:00	;20	;Aumentar por1900.0%	;Disminuir por9.1%	;14	;Aumentar por366.7%	;Disminuir por6.7%	;0	; --%	; --%	;0	; --%	;Disminuir por100.0%	;3	; --%	; --%	;5	; --%	; --%	;
915	;07/09 02:00 - 03:00	;9	;Aumentar por125.0%	;Disminuir por18.2%	;2	;Disminuir por50.0%	;Disminuir por75.0%	;0	; --%	; --%	;0	;Disminuir por100.0%	; --%	;1	; --%	; --%	;0	; --%	;Disminuir por100.0%	;
916	;07/09 03:00 - 04:00	;10	; --%	;Disminuir por16.7%	;13	; --%	;Aumentar por116.7%	;1	; --%	; --%	;2	; --%	;Aumentar por100.0%	;2	; --%	;Aumentar por100.0%	;3	; --%	; --%	;
917	;07/09 04:00 - 05:00	;1	;Disminuir por50.0%	;Disminuir por50.0%	;2	;Aumentar por100.0%	; --%	;0	; --%	; --%	;1	; --%	;Sin cambios	;0	; --%	; --%	;0	; --%	; --%	;
918	;07/09 05:00 - 06:00	;2	; --%	;Sin cambios	;0	; --%	;Disminuir por100.0%	;0	; --%	;Disminuir por100.0%	;0	; --%	;Disminuir por100.0%	;0	; --%	; --%	;0	; --%	; --%	;
919	;07/09 06:00 - 07:00	;4	;Aumentar por100.0%	;Disminuir por33.3%	;0	; --%	;Disminuir por100.0%	;0	; --%	;Disminuir por100.0%	;0	;Disminuir por100.0%	; --%	;0	; --%	; --%	;0	;Disminuir por100.0%	; --%	;
920	;07/09 07:00 - 08:00	;6	; --%	; --%	;6	;Aumentar por100.0%	;Aumentar por200.0%	;0	; --%	; --%	;4	;Aumentar por300.0%	;Aumentar por100.0%	;0	; --%	; --%	;1	; --%	; --%	;
921	;07/09 08:00 - 09:00	;21	;Aumentar por200.0%	;Aumentar por250.0%	;18	;Aumentar por100.0%	;Aumentar por350.0%	;4	; --%	; --%	;9	;Aumentar por350.0%	;Aumentar por80.0%	;0	; --%	; --%	;0	; --%	; --%	;
922	;07/09 09:00 - 10:00	;65	;Aumentar por441.7%	;Aumentar por209.5%	;41	;Aumentar por156.3%	;Aumentar por355.6%	;0	; --%	; --%	;6	;Aumentar por200.0%	;Aumentar por200.0%	;0	; --%	; --%	;9	;Aumentar por200.0%	; --%	;
923	;07/09 10:00 - 11:00	;143	;Aumentar por25.4%	;Aumentar por66.3%	;102	;Aumentar por308.0%	;Aumentar por292.3%	;0	; --%	;Disminuir por100.0%	;6	;Aumentar por50.0%	;Disminuir por66.7%	;29	; --%	; --%	;32	;Aumentar por966.7%	; --%	;
924	;07/09 11:00 - 12:00	;91	;Disminuir por10.8%	;Disminuir por44.2%	;55	;Aumentar por27.9%	;Disminuir por32.9%	;0	;Disminuir por100.0%	;Disminuir por100.0%	;7	;Aumentar por40.0%	;Disminuir por66.7%	;1	; --%	;Sin cambios	;5	;Aumentar por66.7%	;Aumentar por25.0%	;
925	;07/09 12:00 - 13:00	;140	;Disminuir por29.6%	;Disminuir por58.7%	;80	;Aumentar por100.0%	;Disminuir por34.4%	;0	; --%	; --%	;3	;Disminuir por25.0%	;Disminuir por62.5%	;0	;Disminuir por100.0%	; --%	;1	;Disminuir por85.7%	;Disminuir por50.0%	;
926	;07/09 13:00 - 14:00	;70	;Aumentar por37.3%	;Disminuir por74.4%	;44	;Aumentar por91.3%	;Disminuir por62.1%	;1	; --%	; --%	;4	;Aumentar por33.3%	;Sin cambios	;0	; --%	; --%	;5	;Disminuir por28.6%	;Aumentar por400.0%	;
927	;07/09 14:00 - 15:00	;61	;Aumentar por74.3%	;Disminuir por60.9%	;25	;Aumentar por19.0%	;Disminuir por67.9%	;0	; --%	; --%	;2	;Disminuir por60.0%	;Sin cambios	;1	; --%	; --%	;7	; --%	;Aumentar por40.0%	;
928	;07/09 15:00 - 16:00	;50	;Disminuir por20.6%	;Disminuir por50.0%	;17	;Disminuir por32.0%	;Disminuir por56.4%	;0	; --%	; --%	;5	;Aumentar por150.0%	;Aumentar por400.0%	;1	;Disminuir por50.0%	;Sin cambios	;1	;Sin cambios	;Disminuir por50.0%	;
929	;07/09 16:00 - 17:00	;50	;Disminuir por39.8%	;Disminuir por66.0%	;41	;Aumentar por78.3%	;Aumentar por36.7%	;0	; --%	; --%	;3	;Aumentar por200.0%	;Sin cambios	;1	;Disminuir por50.0%	;Sin cambios	;5	;Disminuir por37.5%	;Aumentar por66.7%	;
930	;07/09 17:00 - 18:00	;113	;Disminuir por5.8%	;Disminuir por67.6%	;55	;Aumentar por34.1%	;Disminuir por47.6%	;0	; --%	; --%	;1	;Disminuir por50.0%	;Sin cambios	;0	;Disminuir por100.0%	;Disminuir por100.0%	;2	;Disminuir por71.4%	;Disminuir por60.0%	;
931	;07/09 18:00 - 19:00	;293	;Aumentar por76.5%	;Disminuir por55.6%	;111	;Aumentar por29.1%	;Disminuir por44.2%	;0	; --%	; --%	;2	;Disminuir por33.3%	;Aumentar por100.0%	;2	;Disminuir por33.3%	;Disminuir por95.3%	;0	;Disminuir por100.0%	;Disminuir por100.0%	;
932	;07/09 19:00 - 20:00	;522	;Aumentar por163.6%	;Disminuir por41.2%	;175	;Aumentar por201.7%	;Disminuir por47.9%	;0	; --%	; --%	;0	; --%	; --%	;1	;Sin cambios	;Disminuir por96.7%	;6	;Aumentar por200.0%	;Disminuir por14.3%	;
933	;07/09 20:00 - 21:00	;958	;Aumentar por660.3%	;Aumentar por8.2%	;425	;Aumentar por585.5%	;Disminuir por9.4%	;0	; --%	; --%	;0	;Disminuir por100.0%	; --%	;41	;Aumentar por4000.0%	; --%	;47	;Aumentar por1466.7%	;Aumentar por4600.0%	;
934	;07/09 21:00 - 22:00	;1491	;Aumentar por1594.3%	;Aumentar por128.0%	;930	;Aumentar por2225.0%	;Aumentar por137.2%	;0	; --%	; --%	;0	;Disminuir por100.0%	; --%	;32	;Aumentar por1500.0%	;Disminuir por11.1%	;47	; --%	;Disminuir por27.7%	;
935	;07/09 22:00 - 23:00	;1211	;Aumentar por8550.0%	;Aumentar por78.6%	;843	;Aumentar por8330.0%	;Aumentar por94.2%	;0	; --%	; --%	;0	; --%	; --%	;18	; --%	;Disminuir por53.8%	;16	; --%	;Disminuir por56.8%	;
936	;07/09 23:00 - 24:00	;572	;Aumentar por5100.0%	;Aumentar por26.3%	;430	;Aumentar por2766.7%	;Aumentar por58.7%	;0	;Disminuir por100.0%	; --%	;0	;Disminuir por100.0%	; --%	;38	; --%	;Aumentar por72.7%	;16	;Aumentar por700.0%	;Disminuir por54.3%	;
937	;07/10 00:00 - 01:00	;292	;Aumentar por7200.0%	;Aumentar por158.4%	;169	;Aumentar por4125.0%	;Aumentar por87.8%	;0	; --%	; --%	;0	; --%	; --%	;0	; --%	; --%	;3	; --%	;Aumentar por50.0%	;
938	;07/10 01:00 - 02:00	;27	; --%	;Aumentar por80.0%	;17	;Aumentar por1600.0%	;Disminuir por60.5%	;0	; --%	; --%	;0	; --%	; --%	;0	;Disminuir por100.0%	;Disminuir por100.0%	;3	; --%	; --%	;
939	;07/10 02:00 - 03:00	;19	;Aumentar por1800.0%	;Aumentar por5.6%	;38	;Aumentar por3700.0%	;Aumentar por216.7%	;0	; --%	; --%	;2	; --%	;Aumentar por100.0%	;0	; --%	; --%	;2	; --%	; --%	;
940	;07/10 03:00 - 04:00	;9	;Aumentar por12.5%	;Disminuir por25.0%	;4	;Disminuir por50.0%	;Disminuir por50.0%	;0	;Disminuir por100.0%	;Disminuir por100.0%	;0	;Disminuir por100.0%	;Disminuir por100.0%	;0	; --%	; --%	;0	; --%	; --%	;
941	;07/10 04:00 - 05:00	;4	; --%	; --%	;0	; --%	;Disminuir por100.0%	;0	; --%	; --%	;1	; --%	; --%	;0	; --%	; --%	;0	; --%	; --%	;
942	;07/10 05:00 - 06:00	;1	; --%	;Disminuir por83.3%	;1	; --%	; --%	;0	; --%	; --%	;0	; --%	;Disminuir por100.0%	;1	; --%	; --%	;0	; --%	; --%	;
943	;07/10 06:00 - 07:00	;4	;Aumentar por100.0%	;Sin cambios	;6	; --%	; --%	;0	; --%	; --%	;0	;Disminuir por100.0%	;Disminuir por100.0%	;0	; --%	; --%	;1	;Sin cambios	;Sin cambios	;
944	;07/10 07:00 - 08:00	;7	;Aumentar por600.0%	;Aumentar por16.7%	;5	;Aumentar por66.7%	;Aumentar por25.0%	;0	; --%	; --%	;3	;Aumentar por200.0%	;Aumentar por50.0%	;0	; --%	; --%	;1	;Sin cambios	; --%	;
945	;07/10 08:00 - 09:00	;29	;Aumentar por866.7%	;Aumentar por16.0%	;21	;Aumentar por110.0%	;Aumentar por90.9%	;0	; --%	; --%	;4	;Disminuir por33.3%	;Sin cambios	;1	; --%	; --%	;3	;Aumentar por200.0%	;Sin cambios	;
946	;07/10 09:00 - 10:00	;26	;Disminuir por64.9%	;Disminuir por49.0%	;36	;Disminuir por46.3%	;Aumentar por20.0%	;0	; --%	; --%	;3	;Sin cambios	;Disminuir por50.0%	;0	;Disminuir por100.0%	; --%	;5	;Disminuir por28.6%	;Sin cambios	;
947	;07/10 10:00 - 11:00	;63	;Disminuir por52.6%	;Disminuir por63.6%	;28	;Disminuir por37.8%	;Disminuir por78.5%	;2	; --%	; --%	;13	;Aumentar por160.0%	;Aumentar por225.0%	;0	;Disminuir por100.0%	;Disminuir por100.0%	;6	;Aumentar por20.0%	;Aumentar por500.0%	;
948	;07/10 11:00 - 12:00	;157	;Disminuir por11.3%	;Aumentar por33.1%	;64	;Aumentar por42.2%	;Aumentar por30.6%	;0	;Disminuir por100.0%	;Disminuir por100.0%	;4	;Disminuir por33.3%	;Disminuir por33.3%	;1	;Sin cambios	;Sin cambios	;11	;Aumentar por120.0%	;Aumentar por22.2%	;
949	;07/10 12:00 - 13:00	;130	;Disminuir por3.7%	;Disminuir por19.8%	;84	;Aumentar por37.7%	;Aumentar por47.4%	;0	; --%	;Disminuir por100.0%	;4	;Disminuir por42.9%	;Disminuir por20.0%	;1	; --%	;Disminuir por50.0%	;5	;Aumentar por150.0%	;Disminuir por37.5%	;
950	;07/10 13:00 - 14:00	;77	;Disminuir por41.7%	;Disminuir por23.0%	;57	;Aumentar por58.3%	;Disminuir por10.9%	;0	; --%	; --%	;2	;Sin cambios	;Disminuir por50.0%	;1	; --%	; --%	;2	;Disminuir por71.4%	;Disminuir por50.0%	;
951	;07/10 14:00 - 15:00	;63	;Aumentar por50.0%	;Aumentar por18.9%	;53	;Aumentar por152.4%	;Aumentar por231.3%	;0	; --%	;Disminuir por100.0%	;5	; --%	;Sin cambios	;1	;Sin cambios	; --%	;9	;Aumentar por200.0%	;Aumentar por125.0%	;
952	;07/10 15:00 - 16:00	;47	;Disminuir por6.0%	;Aumentar por30.6%	;45	;Aumentar por275.0%	;Aumentar por18.4%	;0	; --%	; --%	;3	;Sin cambios	;Aumentar por50.0%	;1	;Disminuir por50.0%	; --%	;10	;Aumentar por150.0%	;Aumentar por100.0%	;
953	;07/10 16:00 - 17:00	;53	;Disminuir por31.2%	;Disminuir por8.6%	;24	;Disminuir por22.6%	;Disminuir por44.2%	;0	; --%	; --%	;3	;Aumentar por200.0%	;Aumentar por50.0%	;0	; --%	; --%	;5	;Aumentar por66.7%	;Aumentar por66.7%	;
954	;07/10 17:00 - 18:00	;92	;Disminuir por12.4%	;Disminuir por5.2%	;34	;Aumentar por36.0%	;Disminuir por22.7%	;0	;Disminuir por100.0%	; --%	;3	;Sin cambios	;Aumentar por200.0%	;0	;Disminuir por100.0%	;Disminuir por100.0%	;1	;Disminuir por80.0%	;Disminuir por80.0%	;
955	;07/10 18:00 - 19:00	;225	;Disminuir por1.3%	;Aumentar por11.9%	;78	;Disminuir por29.7%	;Disminuir por3.7%	;0	; --%	;Disminuir por100.0%	;1	;Disminuir por75.0%	;Disminuir por50.0%	;9	; --%	; --%	;6	;Disminuir por45.5%	; --%	;
956	;07/10 19:00 - 20:00	;507	;Aumentar por119.5%	;Aumentar por12.7%	;219	;Aumentar por204.2%	;Aumentar por47.0%	;0	; --%	; --%	;0	; --%	; --%	;4	;Aumentar por33.3%	; --%	;4	;Aumentar por300.0%	;Aumentar por100.0%	;
957	;07/10 20:00 - 21:00	;459	;Aumentar por171.6%	;Disminuir por42.0%	;190	;Aumentar por216.7%	;Disminuir por31.4%	;0	; --%	; --%	;0	; --%	; --%	;5	;Aumentar por66.7%	;Aumentar por25.0%	;5	;Aumentar por66.7%	;Aumentar por400.0%	;
958	;07/10 21:00 - 22:00	;288	;Aumentar por396.6%	;Disminuir por77.5%	;150	;Aumentar por248.8%	;Disminuir por83.1%	;0	; --%	; --%	;0	; --%	; --%	;3	;Disminuir por25.0%	;Disminuir por88.5%	;3	;Aumentar por50.0%	;Disminuir por88.9%	;
959	;07/10 22:00 - 23:00	;312	;Aumentar por447.4%	;Disminuir por70.4%	;200	;Aumentar por669.2%	;Disminuir por71.0%	;0	; --%	; --%	;0	; --%	; --%	;3	;Aumentar por200.0%	;Disminuir por66.7%	;3	;Aumentar por200.0%	;Disminuir por93.2%	;
960	;07/10 23:00 - 24:00	;673	;Aumentar por3265.0%	;Aumentar por7.2%	;233	;Aumentar por2018.2%	;Disminuir por39.5%	;0	;Disminuir por100.0%	; --%	;0	; --%	; --%	;2	;Aumentar por100.0%	;Disminuir por75.0%	;3	;Aumentar por200.0%	;Disminuir por40.0%	;
961	;07/11 00:00 - 01:00	;211	;Aumentar por2914.3%	;Aumentar por28.7%	;100	;Aumentar por1328.6%	;Disminuir por4.8%	;0	; --%	; --%	;0	; --%	; --%	;0	; --%	; --%	;0	;Disminuir por100.0%	;Disminuir por100.0%	;
962	;07/11 01:00 - 02:00	;36	;Aumentar por3500.0%	;Aumentar por56.5%	;20	; --%	;Aumentar por17.6%	;0	; --%	; --%	;0	; --%	; --%	;2	; --%	;Aumentar por100.0%	;2	; --%	; --%	;
963	;07/11 02:00 - 03:00	;16	;Aumentar por1500.0%	;Aumentar por220.0%	;25	; --%	;Disminuir por16.7%	;0	; --%	; --%	;1	; --%	;Sin cambios	;0	; --%	; --%	;1	; --%	; --%	;
964	;07/11 03:00 - 04:00	;28	;Aumentar por2700.0%	;Aumentar por600.0%	;33	;Aumentar por3200.0%	;Aumentar por3200.0%	;0	;Disminuir por100.0%	;Disminuir por100.0%	;1	;Disminuir por50.0%	;Sin cambios	;0	;Disminuir por100.0%	; --%	;0	;Disminuir por100.0%	;Disminuir por100.0%	;
965	;07/11 04:00 - 05:00	;6	; --%	;Aumentar por50.0%	;3	; --%	;Aumentar por50.0%	;0	; --%	; --%	;0	; --%	;Disminuir por100.0%	;0	; --%	; --%	;0	; --%	; --%	;
966	;07/11 05:00 - 06:00	;8	; --%	;Aumentar por14.3%	;0	; --%	;Disminuir por100.0%	;0	; --%	; --%	;0	; --%	; --%	;0	; --%	;Disminuir por100.0%	;0	; --%	; --%	;
967	;07/11 06:00 - 07:00	;3	;Aumentar por200.0%	;Disminuir por81.3%	;0	; --%	;Disminuir por100.0%	;1	; --%	;Disminuir por91.7%	;0	;Disminuir por100.0%	;Disminuir por100.0%	;0	; --%	; --%	;0	;Disminuir por100.0%	;Disminuir por100.0%	;
968	;07/11 07:00 - 08:00	;9	; --%	;Aumentar por350.0%	;11	;Aumentar por450.0%	;Aumentar por83.3%	;0	; --%	; --%	;0	;Disminuir por100.0%	;Disminuir por100.0%	;0	; --%	; --%	;1	; --%	; --%	;
969	;07/11 08:00 - 09:00	;19	;Aumentar por280.0%	;Aumentar por26.7%	;26	;Aumentar por1200.0%	;Aumentar por73.3%	;0	; --%	; --%	;3	;Sin cambios	;Disminuir por50.0%	;0	; --%	; --%	;5	;Aumentar por150.0%	;Aumentar por66.7%	;
970	;07/11 09:00 - 10:00	;73	;Aumentar por265.0%	;Aumentar por78.0%	;70	;Aumentar por677.8%	;Aumentar por366.7%	;0	; --%	; --%	;3	;Sin cambios	;Aumentar por200.0%	;0	; --%	;Disminuir por100.0%	;5	;Aumentar por66.7%	;Disminuir por16.7%	;
971	;07/11 10:00 - 11:00	;109	;Aumentar por31.3%	;Disminuir por10.7%	;31	;Aumentar por82.4%	;Aumentar por10.7%	;0	; --%	; --%	;5	;Sin cambios	;Aumentar por400.0%	;0	;Disminuir por100.0%	; --%	;7	;Aumentar por133.3%	;Aumentar por250.0%	;
972	;07/11 11:00 - 12:00	;218	;Aumentar por26.0%	;Aumentar por5.8%	;98	;Aumentar por32.4%	;Aumentar por14.0%	;0	; --%	;Disminuir por100.0%	;4	;Aumentar por33.3%	;Sin cambios	;0	;Disminuir por100.0%	;Disminuir por100.0%	;5	;Aumentar por25.0%	;Aumentar por150.0%	;
973	;07/11 12:00 - 13:00	;165	;Aumentar por39.8%	;Disminuir por44.1%	;75	;Aumentar por59.6%	;Disminuir por39.0%	;0	; --%	;Disminuir por100.0%	;4	;Aumentar por100.0%	;Aumentar por33.3%	;3	; --%	;Disminuir por40.0%	;6	; --%	;Disminuir por75.0%	;
974	;07/11 13:00 - 14:00	;145	;Aumentar por49.5%	;Aumentar por10.7%	;71	;Aumentar por136.7%	;Disminuir por17.4%	;14	; --%	; --%	;14	;Aumentar por250.0%	;Aumentar por600.0%	;0	;Disminuir por100.0%	;Disminuir por100.0%	;5	;Aumentar por66.7%	;Aumentar por66.7%	;
975	;07/11 14:00 - 15:00	;116	;Aumentar por114.8%	;Aumentar por75.8%	;61	;Aumentar por306.7%	;Aumentar por52.5%	;0	;Disminuir por100.0%	; --%	;1	;Sin cambios	;Sin cambios	;1	; --%	;Disminuir por66.7%	;3	;Disminuir por40.0%	;Disminuir por57.1%	;
976	;07/11 15:00 - 16:00	;105	;Aumentar por61.5%	;Aumentar por50.0%	;56	;Aumentar por166.7%	;Aumentar por9.8%	;0	;Disminuir por100.0%	; --%	;1	;Disminuir por66.7%	;Disminuir por66.7%	;2	;Aumentar por100.0%	; --%	;5	;Disminuir por16.7%	;Disminuir por28.6%	;
977	;07/11 16:00 - 17:00	;89	;Aumentar por20.3%	;Aumentar por74.5%	;63	;Aumentar por250.0%	;Aumentar por37.0%	;0	; --%	; --%	;2	;Sin cambios	;Disminuir por33.3%	;0	;Disminuir por100.0%	; --%	;6	;Aumentar por100.0%	;Aumentar por50.0%	;
978	;07/11 17:00 - 18:00	;152	;Aumentar por19.7%	;Aumentar por81.0%	;101	;Aumentar por110.4%	;Aumentar por60.3%	;0	; --%	; --%	;1	;Disminuir por50.0%	;Disminuir por80.0%	;4	; --%	;Aumentar por100.0%	;9	;Aumentar por200.0%	;Aumentar por200.0%	;
979	;07/11 18:00 - 19:00	;461	;Aumentar por116.4%	;Aumentar por70.1%	;209	;Aumentar por99.0%	;Aumentar por75.6%	;0	; --%	; --%	;0	; --%	; --%	;4	;Aumentar por100.0%	;Aumentar por33.3%	;4	;Sin cambios	;Disminuir por55.6%	;
980	;07/11 19:00 - 20:00	;1014	;Aumentar por263.4%	;Aumentar por106.1%	;495	;Aumentar por395.0%	;Aumentar por241.4%	;0	; --%	; --%	;0	; --%	; --%	;12	;Aumentar por71.4%	;Aumentar por200.0%	;22	;Aumentar por633.3%	;Aumentar por1000.0%	;
981	;07/11 20:00 - 21:00	;1908	;Aumentar por711.9%	;Aumentar por147.8%	;1074	;Aumentar por1093.3%	;Aumentar por151.5%	;0	; --%	; --%	;0	;Disminuir por100.0%	; --%	;49	;Aumentar por188.2%	;Aumentar por2350.0%	;44	;Aumentar por528.6%	;Aumentar por2100.0%	;
982	;07/11 21:00 - 22:00	;1943	;Aumentar por1186.8%	;Aumentar por34.7%	;1258	;Aumentar por966.1%	;Aumentar por35.1%	;0	; --%	; --%	;0	; --%	; --%	;25	;Aumentar por1150.0%	;Disminuir por50.0%	;42	;Aumentar por2000.0%	;Aumentar por27.3%	;
983	;07/11 22:00 - 23:00	;2492	;Aumentar por2229.0%	;Aumentar por83.8%	;2035	;Aumentar por5552.8%	;Aumentar por92.0%	;0	; --%	; --%	;0	; --%	; --%	;55	;Aumentar por2650.0%	;Aumentar por139.1%	;57	; --%	;Aumentar por111.1%	;
984	;07/11 23:00 - 24:00	;1479	;Aumentar por2075.0%	;Aumentar por176.4%	;1146	;Aumentar por3083.3%	;Aumentar por332.5%	;0	; --%	; --%	;0	; --%	; --%	;35	; --%	;Aumentar por600.0%	;29	;Aumentar por2800.0%	;Aumentar por1350.0%	;
985	;07/12 00:00 - 01:00	;585	;Aumentar por11600.0%	;Aumentar por84.0%	;326	;Aumentar por3522.2%	;Aumentar por117.3%	;0	; --%	; --%	;0	; --%	; --%	;5	; --%	;Aumentar por400.0%	;4	;Aumentar por300.0%	;Aumentar por100.0%	;
986	;07/12 01:00 - 02:00	;110	;Aumentar por1275.0%	;Aumentar por150.0%	;61	;Aumentar por2950.0%	;Aumentar por84.8%	;0	; --%	; --%	;1	; --%	;Disminuir por50.0%	;0	; --%	;Disminuir por100.0%	;2	; --%	;Disminuir por33.3%	;
987	;07/12 02:00 - 03:00	;17	;Aumentar por750.0%	;Aumentar por240.0%	;27	; --%	;Aumentar por350.0%	;0	; --%	; --%	;1	; --%	;Sin cambios	;0	; --%	; --%	;1	; --%	; --%	;
988	;07/12 03:00 - 04:00	;28	;Aumentar por211.1%	;Aumentar por180.0%	;31	;Aumentar por181.8%	;Aumentar por210.0%	;1	;Sin cambios	; --%	;1	;Disminuir por50.0%	; --%	;1	; --%	; --%	;2	; --%	; --%	;
989	;07/12 04:00 - 05:00	;4	; --%	; --%	;1	; --%	;Sin cambios	;0	; --%	; --%	;0	;Disminuir por100.0%	;Disminuir por100.0%	;0	; --%	; --%	;0	; --%	; --%	;
990	;07/12 05:00 - 06:00	;17	; --%	;Aumentar por183.3%	;9	; --%	; --%	;0	; --%	; --%	;0	; --%	; --%	;0	; --%	; --%	;0	; --%	; --%	;
991	;07/12 06:00 - 07:00	;3	; --%	;Sin cambios	;1	; --%	;Sin cambios	;0	; --%	; --%	;0	; --%	;Disminuir por100.0%	;1	; --%	; --%	;2	; --%	; --%	;
992	;07/12 07:00 - 08:00	;10	;Aumentar por233.3%	;Aumentar por66.7%	;1	;Sin cambios	;Sin cambios	;0	; --%	; --%	;0	; --%	; --%	;0	; --%	; --%	;2	; --%	; --%	;
993	;07/12 08:00 - 09:00	;19	;Aumentar por90.0%	;Aumentar por18.8%	;8	;Aumentar por33.3%	;Sin cambios	;0	; --%	; --%	;2	;Disminuir por50.0%	;Disminuir por66.7%	;0	; --%	;Disminuir por100.0%	;3	;Sin cambios	;Aumentar por200.0%	;
994	;07/12 09:00 - 10:00	;38	;Aumentar por100.0%	;Disminuir por19.1%	;28	;Aumentar por100.0%	;Aumentar por16.7%	;0	; --%	; --%	;2	;Disminuir por33.3%	;Disminuir por33.3%	;1	; --%	;Sin cambios	;5	;Aumentar por150.0%	;Aumentar por25.0%	;
995	;07/12 10:00 - 11:00	;153	;Aumentar por12.5%	;Aumentar por21.4%	;70	;Aumentar por118.8%	;Aumentar por42.9%	;0	; --%	; --%	;2	;Disminuir por33.3%	;Disminuir por33.3%	;5	; --%	;Aumentar por400.0%	;11	;Aumentar por266.7%	;Aumentar por57.1%	;
996	;07/12 11:00 - 12:00	;193	;Disminuir por29.6%	;Aumentar por107.5%	;61	;Disminuir por30.7%	;Sin cambios	;0	; --%	; --%	;0	; --%	;Disminuir por100.0%	;7	;Aumentar por75.0%	; --%	;5	;Aumentar por150.0%	;Aumentar por400.0%	;
997	;07/12 12:00 - 13:00	;271	;Aumentar por1.9%	;Aumentar por44.9%	;101	;Aumentar por40.3%	;Aumentar por14.8%	;0	; --%	; --%	;1	;Sin cambios	;Sin cambios	;3	; --%	; --%	;9	;Aumentar por800.0%	; --%	;
998	;07/12 13:00 - 14:00	;157	;Aumentar por0.6%	;Aumentar por130.9%	;78	;Aumentar por16.4%	;Aumentar por11.4%	;0	; --%	;Disminuir por100.0%	;2	;Aumentar por100.0%	;Disminuir por60.0%	;4	;Aumentar por33.3%	; --%	;8	;Aumentar por166.7%	; --%	;
999	;07/12 14:00 - 15:00	;93	;Disminuir por6.1%	;Aumentar por151.4%	;56	;Aumentar por27.3%	;Aumentar por211.1%	;0	; --%	; --%	;2	;Aumentar por100.0%	;Disminuir por66.7%	;1	;Sin cambios	; --%	;3	;Sin cambios	;Aumentar por200.0%	;
1000	;07/12 15:00 - 16:00	;75	;Disminuir por35.3%	;Disminuir por49.0%	;40	;Disminuir por4.8%	;Aumentar por17.6%	;0	; --%	; --%	;0	; --%	;Disminuir por100.0%	;0	; --%	; --%	;1	;Disminuir por75.0%	;Disminuir por66.7%	;
