Análisis de tipo multiobjetivo	;
Información básica	;
Hora de exportación: 2026/08/10 14:47:57	;
Operador: Touristcheck	;
Objetivo de estadísticas: Avda. Del Mar - Marcelino Roca	;
Exportar contenido:Número de personas,Vehículos a motor,Vehículos sin motor	;
Hora del informe: 2026/06/01 00:00:00 - 2026/08/31 23:59:59	;

Personas totales	; 	; 	; 	; 	; 	;Total de vehículos a motor	; 	; 	; 	; 	; 	;Total de vehículos sin motor	;
Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
890768	;Aumentar por77.9%	;Disminuir por26.6%	;949773	;Aumentar por79.9%	;Disminuir por26.7%	;31305	;Disminuir por21.0%	;Disminuir por16.3%	;16274	;Disminuir por18.6%	;Disminuir por10.1%	;36251	;Aumentar por49.8%	;Disminuir por19.6%	;31231	;Aumentar por76.0%	;Disminuir por19.2%	;

N.º	;Hora	;Personas	; 	; 	; 	; 	; 	;Vehículos a motor	; 	; 	; 	; 	; 	;Vehículos sin motor	;
	;	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
	;	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
186	;06/08 17:00 - 18:00	;275	;Disminuir por39.0%	;Disminuir por53.2%	;334	;Disminuir por1.2%	;Disminuir por30.3%	;22	;Disminuir por4.3%	;Aumentar por57.1%	;5	;Disminuir por50.0%	;Disminuir por28.6%	;35	;Aumentar por12.9%	;Aumentar por52.2%	;24	;Disminuir por4.0%	;Disminuir por4.0%	;
187	;06/08 18:00 - 19:00	;488	;Aumentar por69.4%	;Disminuir por29.0%	;757	;Aumentar por215.4%	;Disminuir por23.9%	;17	;Disminuir por15.0%	;Aumentar por54.5%	;13	;Aumentar por8.3%	;Aumentar por225.0%	;25	;Aumentar por31.6%	;Disminuir por3.8%	;33	;Aumentar por175.0%	;Disminuir por2.9%	;
188	;06/08 19:00 - 20:00	;890	;Aumentar por449.4%	;Disminuir por11.9%	;1361	;Aumentar por1104.4%	;Disminuir por4.0%	;14	;Disminuir por12.5%	;Aumentar por100.0%	;7	;Aumentar por75.0%	;Aumentar por75.0%	;27	;Aumentar por285.7%	;Aumentar por12.5%	;50	;Aumentar por2400.0%	;Aumentar por61.3%	;
189	;06/08 20:00 - 21:00	;1025	;Aumentar por2400.0%	;Disminuir por18.3%	;1049	;Aumentar por2397.6%	;Disminuir por21.2%	;7	;Disminuir por50.0%	;Aumentar por16.7%	;6	;Disminuir por14.3%	;Aumentar por200.0%	;24	; --%	;Disminuir por7.7%	;33	; --%	;Aumentar por73.7%	;
190	;06/08 21:00 - 22:00	;947	;Aumentar por7184.6%	;Disminuir por10.8%	;802	;Aumentar por4121.1%	;Disminuir por18.1%	;8	;Disminuir por27.3%	;Disminuir por33.3%	;5	;Disminuir por28.6%	;Aumentar por150.0%	;27	;Aumentar por1250.0%	;Disminuir por10.0%	;23	;Aumentar por2200.0%	;Aumentar por35.3%	;
191	;06/08 22:00 - 23:00	;917	;Aumentar por6953.8%	;Disminuir por8.9%	;751	;Aumentar por18675.0%	;Aumentar por9.6%	;9	;Aumentar por12.5%	;Aumentar por80.0%	;2	;Disminuir por66.7%	;Aumentar por100.0%	;10	;Aumentar por900.0%	;Disminuir por65.5%	;17	;Aumentar por1600.0%	;Disminuir por10.5%	;
192	;06/08 23:00 - 24:00	;443	;Aumentar por10975.0%	;Disminuir por5.3%	;288	; --%	;Aumentar por12.1%	;9	;Aumentar por200.0%	;Aumentar por80.0%	;5	; --%	;Aumentar por400.0%	;16	; --%	;Aumentar por6.7%	;3	; --%	;Disminuir por57.1%	;
193	;06/09 00:00 - 01:00	;161	;Aumentar por3925.0%	;Disminuir por22.2%	;37	;Aumentar por311.1%	;Disminuir por67.0%	;8	;Aumentar por300.0%	;Aumentar por33.3%	;3	;Aumentar por200.0%	;Aumentar por200.0%	;10	; --%	;Disminuir por56.5%	;2	;Aumentar por100.0%	;Aumentar por100.0%	;
194	;06/09 01:00 - 02:00	;39	;Aumentar por550.0%	;Disminuir por17.0%	;13	;Aumentar por333.3%	;Disminuir por38.1%	;5	;Aumentar por150.0%	;Aumentar por150.0%	;1	;Disminuir por66.7%	;Disminuir por50.0%	;3	; --%	;Disminuir por50.0%	;1	; --%	;Disminuir por75.0%	;
195	;06/09 02:00 - 03:00	;17	;Aumentar por1600.0%	;Aumentar por21.4%	;8	;Aumentar por700.0%	;Disminuir por42.9%	;0	;Disminuir por100.0%	; --%	;0	; --%	; --%	;4	;Aumentar por300.0%	;Aumentar por33.3%	;1	; --%	; --%	;
196	;06/09 03:00 - 04:00	;4	; --%	;Disminuir por85.2%	;4	; --%	;Aumentar por33.3%	;1	;Sin cambios	;Disminuir por66.7%	;1	; --%	;Disminuir por50.0%	;1	; --%	;Sin cambios	;0	; --%	; --%	;
197	;06/09 04:00 - 05:00	;7	; --%	;Aumentar por600.0%	;1	; --%	; --%	;1	; --%	;Disminuir por66.7%	;0	; --%	;Disminuir por100.0%	;0	; --%	;Disminuir por100.0%	;0	; --%	; --%	;
198	;06/09 05:00 - 06:00	;1	;Disminuir por50.0%	; --%	;0	; --%	; --%	;3	;Aumentar por200.0%	;Aumentar por200.0%	;2	; --%	; --%	;1	; --%	; --%	;0	; --%	; --%	;
199	;06/09 06:00 - 07:00	;10	;Aumentar por900.0%	;Disminuir por16.7%	;9	;Aumentar por350.0%	;Disminuir por35.7%	;7	;Aumentar por40.0%	;Aumentar por40.0%	;2	; --%	;Disminuir por66.7%	;1	;Sin cambios	;Disminuir por66.7%	;1	;Sin cambios	;Sin cambios	;
200	;06/09 07:00 - 08:00	;49	;Aumentar por390.0%	;Aumentar por75.0%	;46	;Aumentar por1433.3%	;Aumentar por84.0%	;26	;Aumentar por100.0%	;Aumentar por44.4%	;12	;Aumentar por100.0%	;Aumentar por140.0%	;6	;Aumentar por100.0%	;Sin cambios	;0	; --%	;Disminuir por100.0%	;
201	;06/09 08:00 - 09:00	;115	;Aumentar por283.3%	;Aumentar por32.2%	;80	;Aumentar por263.6%	;Aumentar por23.1%	;32	;Disminuir por3.0%	;Disminuir por15.8%	;8	;Disminuir por38.5%	;Disminuir por27.3%	;7	;Aumentar por133.3%	;Disminuir por46.2%	;3	;Aumentar por200.0%	;Aumentar por50.0%	;
202	;06/09 09:00 - 10:00	;195	;Aumentar por572.4%	;Aumentar por116.7%	;161	;Aumentar por257.8%	;Aumentar por45.0%	;27	;Disminuir por6.9%	;Aumentar por3.8%	;16	;Aumentar por6.7%	;Disminuir por23.8%	;15	;Aumentar por87.5%	;Disminuir por6.3%	;13	;Aumentar por225.0%	;Aumentar por85.7%	;
203	;06/09 10:00 - 11:00	;385	;Aumentar por246.8%	;Aumentar por32.8%	;538	;Aumentar por271.0%	;Aumentar por14.7%	;38	;Disminuir por7.3%	;Disminuir por25.5%	;23	;Aumentar por9.5%	;Disminuir por28.1%	;18	;Aumentar por157.1%	;Disminuir por35.7%	;31	;Aumentar por181.8%	;Sin cambios	;
204	;06/09 11:00 - 12:00	;315	;Aumentar por92.1%	;Disminuir por48.1%	;433	;Aumentar por120.9%	;Disminuir por45.3%	;51	;Aumentar por37.8%	;Disminuir por7.3%	;24	;Disminuir por4.0%	;Sin cambios	;30	;Aumentar por150.0%	;Aumentar por20.0%	;25	;Aumentar por212.5%	;Disminuir por28.6%	;
205	;06/09 12:00 - 13:00	;460	;Aumentar por123.3%	;Disminuir por41.9%	;496	;Aumentar por140.8%	;Disminuir por37.4%	;34	;Disminuir por12.8%	;Disminuir por27.7%	;12	;Disminuir por58.6%	;Disminuir por52.0%	;27	;Aumentar por80.0%	;Disminuir por37.2%	;17	;Disminuir por10.5%	;Disminuir por50.0%	;
206	;06/09 13:00 - 14:00	;434	;Aumentar por118.1%	;Disminuir por35.0%	;398	;Aumentar por182.3%	;Disminuir por35.2%	;33	;Disminuir por52.2%	;Disminuir por13.2%	;20	;Sin cambios	;Aumentar por5.3%	;41	;Aumentar por215.4%	;Disminuir por6.8%	;35	;Aumentar por150.0%	;Sin cambios	;
207	;06/09 14:00 - 15:00	;306	;Aumentar por247.7%	;Disminuir por12.3%	;299	;Aumentar por288.3%	;Aumentar por8.7%	;39	;Sin cambios	;Aumentar por18.2%	;6	;Disminuir por50.0%	;Disminuir por53.8%	;20	;Aumentar por25.0%	;Aumentar por53.8%	;8	;Disminuir por11.1%	;Disminuir por50.0%	;
208	;06/09 15:00 - 16:00	;236	;Aumentar por61.6%	;Disminuir por45.2%	;200	;Aumentar por24.2%	;Disminuir por14.9%	;23	;Disminuir por34.3%	;Disminuir por25.8%	;12	;Disminuir por29.4%	;Aumentar por9.1%	;12	;Aumentar por140.0%	;Disminuir por29.4%	;7	;Sin cambios	;Disminuir por66.7%	;
209	;06/09 16:00 - 17:00	;261	;Aumentar por81.3%	;Disminuir por24.3%	;259	;Aumentar por87.7%	;Aumentar por1.2%	;19	;Disminuir por36.7%	;Disminuir por34.5%	;14	;Disminuir por6.7%	;Disminuir por26.3%	;23	;Sin cambios	;Disminuir por8.0%	;12	;Disminuir por14.3%	;Sin cambios	;
210	;06/09 17:00 - 18:00	;221	;Aumentar por93.9%	;Disminuir por16.0%	;278	;Aumentar por265.8%	;Aumentar por7.3%	;26	;Disminuir por21.2%	;Disminuir por3.7%	;11	;Disminuir por38.9%	;Disminuir por21.4%	;17	;Aumentar por54.5%	;Disminuir por46.9%	;17	;Aumentar por240.0%	;Aumentar por30.8%	;
211	;06/09 18:00 - 19:00	;339	;Aumentar por213.9%	;Disminuir por1.7%	;619	;Aumentar por506.9%	;Aumentar por29.0%	;19	;Disminuir por51.3%	;Sin cambios	;7	;Disminuir por56.3%	;Disminuir por50.0%	;23	;Aumentar por228.6%	;Aumentar por35.3%	;24	;Aumentar por242.9%	;Aumentar por41.2%	;
212	;06/09 19:00 - 20:00	;682	;Aumentar por721.7%	;Aumentar por18.8%	;1135	;Aumentar por1569.1%	;Aumentar por22.3%	;14	;Disminuir por17.6%	;Sin cambios	;10	;Aumentar por11.1%	;Aumentar por66.7%	;20	;Aumentar por122.2%	;Aumentar por33.3%	;24	;Aumentar por2300.0%	;Aumentar por50.0%	;
213	;06/09 20:00 - 21:00	;884	;Aumentar por1864.4%	;Disminuir por0.8%	;1040	;Aumentar por2958.8%	;Disminuir por5.6%	;17	;Sin cambios	;Aumentar por70.0%	;6	;Aumentar por50.0%	;Aumentar por20.0%	;31	;Aumentar por3000.0%	;Aumentar por63.2%	;40	;Aumentar por3900.0%	;Aumentar por14.3%	;
214	;06/09 21:00 - 22:00	;847	;Aumentar por9311.1%	;Disminuir por20.6%	;722	;Aumentar por5916.7%	;Disminuir por3.7%	;7	;Disminuir por30.0%	;Aumentar por16.7%	;4	;Disminuir por33.3%	;Aumentar por33.3%	;17	;Aumentar por1600.0%	;Disminuir por39.3%	;15	;Aumentar por650.0%	;Disminuir por11.8%	;
215	;06/09 22:00 - 23:00	;893	;Aumentar por7341.7%	;Aumentar por145.3%	;572	;Aumentar por5100.0%	;Aumentar por262.0%	;5	;Sin cambios	;Disminuir por68.8%	;3	;Disminuir por50.0%	;Disminuir por72.7%	;11	;Aumentar por266.7%	;Disminuir por15.4%	;14	;Aumentar por1300.0%	;Aumentar por133.3%	;
216	;06/09 23:00 - 24:00	;367	;Aumentar por9075.0%	;Aumentar por63.8%	;156	;Aumentar por1100.0%	;Aumentar por30.0%	;13	;Aumentar por333.3%	;Aumentar por30.0%	;6	;Aumentar por500.0%	;Sin cambios	;25	;Aumentar por2400.0%	;Aumentar por92.3%	;6	; --%	;Aumentar por500.0%	;
217	;06/10 00:00 - 01:00	;89	;Aumentar por2866.7%	;Aumentar por34.8%	;62	;Aumentar por6100.0%	;Aumentar por138.5%	;7	;Aumentar por75.0%	;Aumentar por40.0%	;2	; --%	;Aumentar por100.0%	;15	; --%	;Aumentar por114.3%	;4	; --%	; --%	;
218	;06/10 01:00 - 02:00	;38	;Aumentar por1166.7%	;Aumentar por65.2%	;9	;Aumentar por200.0%	;Aumentar por50.0%	;6	;Aumentar por200.0%	;Aumentar por100.0%	;1	;Sin cambios	; --%	;1	; --%	;Disminuir por50.0%	;1	; --%	; --%	;
219	;06/10 02:00 - 03:00	;8	; --%	;Disminuir por52.9%	;16	; --%	;Aumentar por14.3%	;1	;Sin cambios	;Disminuir por66.7%	;2	; --%	;Disminuir por33.3%	;0	; --%	;Disminuir por100.0%	;0	; --%	;Disminuir por100.0%	;
220	;06/10 03:00 - 04:00	;12	; --%	;Aumentar por9.1%	;2	; --%	;Sin cambios	;1	; --%	; --%	;0	; --%	; --%	;1	; --%	; --%	;0	; --%	; --%	;
221	;06/10 04:00 - 05:00	;2	; --%	;Disminuir por33.3%	;0	; --%	; --%	;1	; --%	;Disminuir por66.7%	;0	; --%	;Disminuir por100.0%	;0	; --%	;Disminuir por100.0%	;0	; --%	;Disminuir por100.0%	;
222	;06/10 05:00 - 06:00	;1	;Sin cambios	;Disminuir por50.0%	;0	;Disminuir por100.0%	;Disminuir por100.0%	;2	; --%	;Aumentar por100.0%	;1	; --%	;Sin cambios	;0	; --%	; --%	;1	; --%	;Sin cambios	;
223	;06/10 06:00 - 07:00	;11	;Aumentar por450.0%	;Aumentar por22.2%	;13	;Aumentar por550.0%	;Aumentar por62.5%	;4	;Disminuir por50.0%	;Sin cambios	;3	;Aumentar por200.0%	; --%	;2	;Sin cambios	;Sin cambios	;2	; --%	;Aumentar por100.0%	;
224	;06/10 07:00 - 08:00	;44	;Aumentar por214.3%	;Disminuir por25.4%	;42	;Aumentar por2000.0%	;Disminuir por2.3%	;25	;Aumentar por108.3%	;Aumentar por78.6%	;18	;Aumentar por200.0%	;Aumentar por63.6%	;6	;Aumentar por100.0%	;Disminuir por40.0%	;5	;Aumentar por400.0%	;Aumentar por150.0%	;
225	;06/10 08:00 - 09:00	;108	;Aumentar por730.8%	;Aumentar por33.3%	;76	;Aumentar por985.7%	;Aumentar por22.6%	;43	;Aumentar por43.3%	;Aumentar por22.9%	;19	;Aumentar por46.2%	;Aumentar por90.0%	;13	;Aumentar por1200.0%	;Aumentar por85.7%	;4	;Aumentar por300.0%	;Disminuir por20.0%	;
226	;06/10 09:00 - 10:00	;115	;Aumentar por945.5%	;Aumentar por25.0%	;137	;Aumentar por426.9%	;Aumentar por19.1%	;32	;Sin cambios	;Sin cambios	;13	;Disminuir por31.6%	;Disminuir por13.3%	;21	;Aumentar por2000.0%	;Disminuir por8.7%	;7	;Aumentar por133.3%	;Disminuir por12.5%	;
227	;06/10 10:00 - 11:00	;208	;Aumentar por890.5%	;Disminuir por30.7%	;457	;Aumentar por2076.2%	;Aumentar por26.9%	;44	;Aumentar por25.7%	;Disminuir por8.3%	;17	;Disminuir por29.2%	;Disminuir por43.3%	;16	; --%	;Disminuir por11.1%	;23	; --%	;Aumentar por64.3%	;
228	;06/10 11:00 - 12:00	;322	;Aumentar por403.1%	;Aumentar por16.7%	;676	;Aumentar por369.4%	;Aumentar por92.0%	;52	;Aumentar por23.8%	;Disminuir por13.3%	;31	;Disminuir por6.1%	;Aumentar por24.0%	;19	;Aumentar por375.0%	;Disminuir por13.6%	;22	; --%	;Aumentar por10.0%	;
229	;06/10 12:00 - 13:00	;648	;Aumentar por288.0%	;Aumentar por86.2%	;457	;Aumentar por187.4%	;Aumentar por70.5%	;51	;Aumentar por30.8%	;Aumentar por37.8%	;26	;Aumentar por13.0%	;Aumentar por85.7%	;34	;Aumentar por750.0%	;Aumentar por41.7%	;19	;Aumentar por111.1%	;Aumentar por72.7%	;
230	;06/10 13:00 - 14:00	;354	;Aumentar por284.8%	;Aumentar por42.2%	;337	;Aumentar por810.8%	;Aumentar por30.6%	;30	;Disminuir por46.4%	;Sin cambios	;15	;Disminuir por31.8%	;Disminuir por25.0%	;18	;Aumentar por200.0%	;Disminuir por35.7%	;11	;Aumentar por175.0%	;Aumentar por37.5%	;
231	;06/10 14:00 - 15:00	;254	;Aumentar por361.8%	;Aumentar por72.8%	;242	;Aumentar por317.2%	;Aumentar por50.3%	;38	;Disminuir por5.0%	;Aumentar por26.7%	;21	;Aumentar por110.0%	;Aumentar por162.5%	;29	;Aumentar por222.2%	;Aumentar por93.3%	;17	;Aumentar por70.0%	;Aumentar por183.3%	;
232	;06/10 15:00 - 16:00	;224	;Aumentar por279.7%	;Aumentar por13.7%	;194	;Aumentar por252.7%	;Aumentar por56.5%	;29	;Aumentar por3.6%	;Aumentar por20.8%	;8	;Disminuir por63.6%	;Disminuir por50.0%	;32	;Aumentar por300.0%	;Aumentar por128.6%	;14	;Aumentar por55.6%	;Aumentar por40.0%	;
233	;06/10 16:00 - 17:00	;249	;Aumentar por151.5%	;Aumentar por40.7%	;192	;Aumentar por178.3%	;Aumentar por11.6%	;23	;Disminuir por28.1%	;Disminuir por25.8%	;16	;Sin cambios	;Aumentar por60.0%	;40	;Aumentar por400.0%	;Disminuir por2.4%	;73	;Aumentar por711.1%	;Aumentar por217.4%	;
234	;06/10 17:00 - 18:00	;272	;Aumentar por142.9%	;Aumentar por23.6%	;347	;Aumentar por350.6%	;Aumentar por60.6%	;23	;Disminuir por41.0%	;Sin cambios	;14	;Disminuir por26.3%	;Disminuir por6.7%	;26	;Aumentar por30.0%	;Aumentar por23.8%	;38	;Aumentar por245.5%	;Aumentar por100.0%	;
235	;06/10 18:00 - 19:00	;479	;Aumentar por271.3%	;Aumentar por47.4%	;671	;Aumentar por521.3%	;Aumentar por9.1%	;22	;Disminuir por12.0%	;Aumentar por15.8%	;13	;Aumentar por30.0%	;Aumentar por62.5%	;37	;Aumentar por311.1%	;Aumentar por184.6%	;41	;Aumentar por925.0%	;Aumentar por127.8%	;
236	;06/10 19:00 - 20:00	;843	;Aumentar por1087.3%	;Aumentar por15.2%	;1227	;Aumentar por1473.1%	;Aumentar por7.8%	;14	;Disminuir por50.0%	;Sin cambios	;10	;Sin cambios	;Aumentar por100.0%	;51	;Aumentar por410.0%	;Aumentar por200.0%	;53	;Aumentar por960.0%	;Aumentar por165.0%	;
237	;06/10 20:00 - 21:00	;1177	;Aumentar por5017.4%	;Aumentar por43.9%	;1248	;Aumentar por7241.2%	;Aumentar por37.3%	;15	;Aumentar por25.0%	;Aumentar por87.5%	;9	;Aumentar por350.0%	;Aumentar por28.6%	;32	;Aumentar por966.7%	;Aumentar por166.7%	;53	;Aumentar por1225.0%	;Aumentar por165.0%	;
238	;06/10 21:00 - 22:00	;965	;Aumentar por7941.7%	;Aumentar por23.2%	;717	;Aumentar por3159.1%	;Aumentar por0.3%	;21	;Aumentar por250.0%	;Aumentar por200.0%	;6	;Aumentar por50.0%	;Aumentar por50.0%	;33	;Aumentar por1550.0%	;Aumentar por43.5%	;47	; --%	;Aumentar por422.2%	;
239	;06/10 22:00 - 23:00	;1009	;Aumentar por20080.0%	;Aumentar por68.4%	;769	;Aumentar por9512.5%	;Aumentar por63.6%	;9	;Aumentar por350.0%	;Aumentar por28.6%	;5	;Aumentar por150.0%	;Aumentar por66.7%	;19	;Aumentar por533.3%	;Aumentar por137.5%	;15	;Aumentar por1400.0%	;Aumentar por66.7%	;
240	;06/10 23:00 - 24:00	;443	;Aumentar por10975.0%	;Disminuir por1.1%	;188	;Aumentar por3033.3%	;Disminuir por41.1%	;9	;Aumentar por80.0%	;Aumentar por125.0%	;6	;Aumentar por100.0%	;Aumentar por200.0%	;22	;Aumentar por2100.0%	;Aumentar por4.8%	;10	;Aumentar por900.0%	;Sin cambios	;
241	;06/11 00:00 - 01:00	;149	;Aumentar por3625.0%	;Disminuir por22.0%	;62	;Aumentar por6100.0%	;Aumentar por26.5%	;12	;Aumentar por500.0%	;Aumentar por100.0%	;5	; --%	;Aumentar por400.0%	;12	;Aumentar por1100.0%	;Disminuir por20.0%	;5	; --%	;Aumentar por150.0%	;
242	;06/11 01:00 - 02:00	;53	;Aumentar por5200.0%	;Aumentar por32.5%	;4	;Aumentar por300.0%	;Disminuir por81.8%	;3	;Aumentar por200.0%	;Disminuir por25.0%	;0	; --%	;Disminuir por100.0%	;4	; --%	;Aumentar por33.3%	;1	; --%	;Sin cambios	;
243	;06/11 02:00 - 03:00	;32	;Aumentar por3100.0%	;Aumentar por300.0%	;6	;Aumentar por200.0%	;Aumentar por50.0%	;4	;Aumentar por300.0%	;Aumentar por300.0%	;0	;Disminuir por100.0%	;Disminuir por100.0%	;0	; --%	; --%	;0	;Disminuir por100.0%	; --%	;
244	;06/11 03:00 - 04:00	;2	;Aumentar por100.0%	;Disminuir por33.3%	;0	; --%	;Disminuir por100.0%	;0	; --%	;Disminuir por100.0%	;0	; --%	;Disminuir por100.0%	;2	;Aumentar por100.0%	;Sin cambios	;0	; --%	;Disminuir por100.0%	;
245	;06/11 04:00 - 05:00	;0	; --%	;Disminuir por100.0%	;0	; --%	;Disminuir por100.0%	;3	;Aumentar por200.0%	;Aumentar por50.0%	;1	;Sin cambios	;Sin cambios	;1	; --%	;Sin cambios	;1	; --%	; --%	;
246	;06/11 05:00 - 06:00	;4	; --%	;Aumentar por300.0%	;2	;Aumentar por100.0%	;Aumentar por100.0%	;1	;Sin cambios	;Disminuir por50.0%	;2	; --%	; --%	;0	; --%	;Disminuir por100.0%	;0	; --%	; --%	;
247	;06/11 06:00 - 07:00	;11	;Aumentar por266.7%	;Aumentar por10.0%	;10	;Aumentar por400.0%	;Disminuir por9.1%	;6	;Disminuir por40.0%	;Aumentar por200.0%	;3	;Sin cambios	;Aumentar por50.0%	;1	;Sin cambios	;Disminuir por50.0%	;0	; --%	;Disminuir por100.0%	;
248	;06/11 07:00 - 08:00	;41	;Aumentar por192.9%	;Aumentar por28.1%	;42	;Aumentar por740.0%	;Aumentar por50.0%	;18	;Aumentar por38.5%	;Aumentar por5.9%	;7	;Aumentar por40.0%	;Disminuir por22.2%	;7	;Aumentar por250.0%	;Sin cambios	;0	; --%	;Disminuir por100.0%	;
249	;06/11 08:00 - 09:00	;119	;Aumentar por600.0%	;Aumentar por63.0%	;85	;Aumentar por507.1%	;Aumentar por57.4%	;40	;Aumentar por5.3%	;Aumentar por21.2%	;23	;Aumentar por155.6%	;Aumentar por91.7%	;7	;Aumentar por75.0%	;Disminuir por41.7%	;4	;Aumentar por100.0%	;Aumentar por100.0%	;
250	;06/11 09:00 - 10:00	;172	;Aumentar por588.0%	;Aumentar por59.3%	;307	;Aumentar por614.0%	;Aumentar por237.4%	;43	;Aumentar por126.3%	;Aumentar por26.5%	;22	;Disminuir por8.3%	;Aumentar por69.2%	;14	;Aumentar por40.0%	;Disminuir por12.5%	;11	;Aumentar por83.3%	;Aumentar por83.3%	;
251	;06/11 10:00 - 11:00	;202	;Aumentar por201.5%	;Disminuir por0.5%	;397	;Aumentar por105.7%	;Aumentar por31.5%	;49	;Aumentar por40.0%	;Aumentar por4.3%	;28	;Aumentar por3.7%	;Aumentar por16.7%	;13	;Aumentar por8.3%	;Disminuir por48.0%	;23	;Aumentar por76.9%	;Disminuir por30.3%	;
252	;06/11 11:00 - 12:00	;344	;Aumentar por98.8%	;Aumentar por30.8%	;437	;Aumentar por109.1%	;Aumentar por27.8%	;57	;Aumentar por1.8%	;Aumentar por3.6%	;29	;Disminuir por21.6%	;Aumentar por16.0%	;26	;Aumentar por188.9%	;Disminuir por42.2%	;18	;Aumentar por12.5%	;Disminuir por52.6%	;
253	;06/11 12:00 - 13:00	;431	;Aumentar por89.9%	;Aumentar por8.3%	;454	;Aumentar por146.7%	;Aumentar por8.9%	;44	;Disminuir por15.4%	;Aumentar por4.8%	;23	;Aumentar por15.0%	;Aumentar por15.0%	;20	;Aumentar por17.6%	;Disminuir por23.1%	;27	;Aumentar por800.0%	;Aumentar por22.7%	;
254	;06/11 13:00 - 14:00	;369	;Aumentar por59.7%	;Aumentar por34.7%	;299	;Aumentar por147.1%	;Disminuir por1.6%	;36	;Disminuir por12.2%	;Disminuir por2.7%	;11	;Disminuir por42.1%	;Disminuir por52.2%	;42	;Aumentar por366.7%	;Aumentar por55.6%	;28	;Aumentar por154.5%	;Aumentar por133.3%	;
255	;06/11 14:00 - 15:00	;249	;Aumentar por97.6%	;Aumentar por10.2%	;233	;Aumentar por106.2%	;Aumentar por13.1%	;33	;Aumentar por26.9%	;Sin cambios	;6	;Disminuir por25.0%	;Disminuir por14.3%	;23	;Disminuir por11.5%	;Aumentar por15.0%	;15	;Disminuir por25.0%	;Aumentar por66.7%	;
256	;06/11 15:00 - 16:00	;267	;Aumentar por107.0%	;Aumentar por3.5%	;195	;Aumentar por167.1%	;Aumentar por6.0%	;26	;Disminuir por7.1%	;Disminuir por3.7%	;19	;Aumentar por26.7%	;Aumentar por216.7%	;20	;Aumentar por42.9%	;Aumentar por25.0%	;13	;Aumentar por44.4%	;Aumentar por8.3%	;
257	;06/11 16:00 - 17:00	;276	;Aumentar por148.6%	;Aumentar por29.0%	;200	;Aumentar por122.2%	;Disminuir por13.8%	;30	;Disminuir por33.3%	;Disminuir por14.3%	;17	;Aumentar por70.0%	;Sin cambios	;25	;Aumentar por127.3%	;Disminuir por32.4%	;8	;Disminuir por11.1%	;Disminuir por57.9%	;
258	;06/11 17:00 - 18:00	;269	;Aumentar por47.0%	;Disminuir por6.9%	;329	;Aumentar por178.8%	;Disminuir por4.9%	;35	;Disminuir por2.8%	;Aumentar por29.6%	;22	;Aumentar por37.5%	;Aumentar por144.4%	;24	;Aumentar por9.1%	;Aumentar por9.1%	;21	;Aumentar por61.5%	;Disminuir por19.2%	;
259	;06/11 18:00 - 19:00	;327	;Aumentar por168.0%	;Disminuir por28.4%	;566	;Aumentar por335.4%	;Disminuir por12.0%	;25	;Disminuir por32.4%	;Aumentar por19.0%	;16	;Aumentar por6.7%	;Aumentar por33.3%	;17	;Aumentar por41.7%	;Disminuir por29.2%	;25	;Aumentar por66.7%	;Aumentar por8.7%	;
260	;06/11 19:00 - 20:00	;940	;Aumentar por1060.5%	;Aumentar por15.1%	;1315	;Aumentar por1503.7%	;Aumentar por12.8%	;12	;Disminuir por64.7%	;Aumentar por20.0%	;12	;Aumentar por50.0%	;Aumentar por100.0%	;21	;Aumentar por61.5%	;Disminuir por43.2%	;42	;Aumentar por500.0%	;Disminuir por14.3%	;
261	;06/11 20:00 - 21:00	;1106	;Aumentar por2304.3%	;Aumentar por2.8%	;1115	;Aumentar por2913.5%	;Aumentar por10.1%	;16	;Disminuir por11.1%	;Aumentar por23.1%	;5	;Sin cambios	;Sin cambios	;23	;Aumentar por475.0%	;Disminuir por25.8%	;23	;Aumentar por666.7%	;Disminuir por25.8%	;
