Análisis de tipo multiobjetivo	;
Información básica	;
Hora de exportación: 2026/08/10 14:47:57	;
Operador: Touristcheck	;
Objetivo de estadísticas: Avda. Del Mar - Marcelino Roca	;
Exportar contenido:Número de personas,Vehículos a motor,Vehículos sin motor	;
Hora del informe: 2026/06/01 00:00:00 - 2026/08/31 23:59:59	;

Personas totales	; 	; 	; 	; 	; 	;Total de vehículos a motor	; 	; 	; 	; 	; 	;Total de vehículos sin motor	;
Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
890768	;Aumentar por77.9%	;Disminuir por26.6%	;949773	;Aumentar por79.9%	;Disminuir por26.7%	;31305	;Disminuir por21.0%	;Disminuir por16.3%	;16274	;Disminuir por18.6%	;Disminuir por10.1%	;36251	;Aumentar por49.8%	;Disminuir por19.6%	;31231	;Aumentar por76.0%	;Disminuir por19.2%	;

N.º	;Hora	;Personas	; 	; 	; 	; 	; 	;Vehículos a motor	; 	; 	; 	; 	; 	;Vehículos sin motor	;
	;	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
	;	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
13	;06/01 12:00 - 13:00	;381	;Disminuir por33.7%	;Disminuir por40.1%	;391	;Disminuir por30.6%	;Disminuir por50.1%	;42	;Aumentar por147.1%	;Aumentar por90.9%	;17	;Aumentar por70.0%	;Aumentar por13.3%	;24	;Aumentar por33.3%	;Aumentar por4.3%	;21	;Aumentar por61.5%	;Sin cambios	;
14	;06/01 13:00 - 14:00	;275	;Disminuir por35.3%	;Disminuir por58.8%	;321	;Disminuir por17.3%	;Disminuir por52.9%	;34	;Aumentar por30.8%	;Aumentar por126.7%	;23	;Aumentar por283.3%	;Aumentar por130.0%	;19	;Disminuir por24.0%	;Disminuir por58.7%	;12	;Disminuir por58.6%	;Disminuir por70.0%	;
15	;06/01 14:00 - 15:00	;187	;Disminuir por32.0%	;Disminuir por58.3%	;180	;Disminuir por22.4%	;Disminuir por60.6%	;31	;Aumentar por10.7%	;Aumentar por158.3%	;9	;Aumentar por125.0%	;Disminuir por18.2%	;16	;Disminuir por46.7%	;Disminuir por48.4%	;7	;Disminuir por73.1%	;Disminuir por68.2%	;
16	;06/01 15:00 - 16:00	;259	;Disminuir por25.8%	;Disminuir por55.4%	;181	;Disminuir por34.2%	;Disminuir por55.7%	;30	;Aumentar por76.5%	;Aumentar por100.0%	;8	;Aumentar por33.3%	;Disminuir por42.9%	;23	;Aumentar por130.0%	;Aumentar por27.8%	;3	;Disminuir por66.7%	;Disminuir por88.9%	;
17	;06/01 16:00 - 17:00	;145	;Disminuir por70.1%	;Disminuir por77.9%	;154	;Disminuir por57.8%	;Disminuir por70.2%	;28	;Aumentar por115.4%	;Aumentar por47.4%	;13	;Aumentar por85.7%	;Aumentar por62.5%	;22	;Aumentar por22.2%	;Disminuir por38.9%	;11	;Disminuir por8.3%	;Disminuir por50.0%	;
18	;06/01 17:00 - 18:00	;197	;Disminuir por53.2%	;Disminuir por58.1%	;205	;Disminuir por20.5%	;Disminuir por62.2%	;29	;Aumentar por52.6%	;Aumentar por141.7%	;22	;Aumentar por175.0%	;Aumentar por266.7%	;15	;Disminuir por37.5%	;Disminuir por48.3%	;18	;Aumentar por20.0%	;Disminuir por35.7%	;
19	;06/01 18:00 - 19:00	;373	;Aumentar por89.3%	;Disminuir por46.3%	;541	;Aumentar por186.2%	;Disminuir por38.0%	;22	;Disminuir por15.4%	;Aumentar por100.0%	;19	;Aumentar por46.2%	;Aumentar por171.4%	;19	;Aumentar por90.0%	;Disminuir por52.5%	;30	;Aumentar por328.6%	;Disminuir por9.1%	;
20	;06/01 19:00 - 20:00	;627	;Aumentar por250.3%	;Disminuir por23.2%	;827	;Aumentar por638.4%	;Disminuir por14.8%	;14	;Disminuir por22.2%	;Aumentar por27.3%	;10	;Aumentar por11.1%	;Aumentar por100.0%	;35	;Aumentar por250.0%	;Aumentar por84.2%	;39	;Aumentar por875.0%	;Aumentar por77.3%	;
21	;06/01 20:00 - 21:00	;657	;Aumentar por1240.8%	;Disminuir por27.2%	;624	;Aumentar por1123.5%	;Disminuir por9.6%	;17	;Aumentar por70.0%	;Aumentar por183.3%	;5	;Sin cambios	;Aumentar por150.0%	;27	;Aumentar por575.0%	;Sin cambios	;15	;Aumentar por650.0%	;Aumentar por7.1%	;
22	;06/01 21:00 - 22:00	;595	;Aumentar por1316.7%	;Aumentar por15.1%	;561	;Aumentar por1302.5%	;Aumentar por46.9%	;16	;Aumentar por77.8%	;Aumentar por166.7%	;9	;Aumentar por200.0%	;Aumentar por50.0%	;22	;Aumentar por633.3%	;Disminuir por12.0%	;14	;Aumentar por1300.0%	;Sin cambios	;
