N.º	;Hora	;Personas	; 	; 	; 	; 	; 	;Vehículos a motor	; 	; 	; 	; 	; 	;Vehículos sin motor	;
	;	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
	;	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
15	;(Lunes)2025/12/15	;353	;Disminuir por94.7%	; --%	;135	;Disminuir por96.2%	; --%	;2	;Sin cambios	; --%	;45	;Aumentar por18.4%	; --%	;2	;Disminuir por97.3%	; --%	;3	;Disminuir por98.3%	; --%	;
16	;(Martes)2025/12/16	;318	;Disminuir por87.2%	; --%	;163	;Disminuir por88.1%	; --%	;2	;Sin cambios	; --%	;31	;Aumentar por14.8%	; --%	;5	;Disminuir por77.3%	; --%	;13	;Disminuir por76.4%	; --%	;
17	;(Miércoles)2025/12/17	;291	;Disminuir por60.8%	; --%	;167	;Disminuir por39.1%	; --%	;1	;Sin cambios	; --%	;50	;Aumentar por8.7%	; --%	;0	;Disminuir por100.0%	; --%	;6	;Disminuir por87.5%	; --%	;
18	;(Jueves)2025/12/18	;743	;Disminuir por21.6%	; --%	;280	;Disminuir por24.3%	; --%	;0	;Disminuir por100.0%	; --%	;53	;Aumentar por6.0%	; --%	;14	;Aumentar por75.0%	; --%	;20	;Disminuir por64.9%	; --%	;
19	;(Viernes)2025/12/19	;3223	;Aumentar por323.0%	; --%	;2233	;Aumentar por560.7%	; --%	;5	;Aumentar por66.7%	; --%	;37	;Disminuir por27.5%	; --%	;65	;Aumentar por550.0%	; --%	;80	;Aumentar por105.1%	; --%	;
20	;(Sábado)2025/12/20	;6018	;Aumentar por730.1%	; --%	;3459	;Aumentar por845.1%	; --%	;1	;Disminuir por83.3%	; --%	;20	;Disminuir por60.8%	; --%	;29	;Aumentar por107.1%	; --%	;65	;Aumentar por75.7%	; --%	;
21	;(Domingo)2025/12/21	;5026	;Aumentar por246.6%	; --%	;2695	;Aumentar por333.3%	; --%	;0	;Disminuir por100.0%	; --%	;14	;Disminuir por77.8%	; --%	;35	;Aumentar por169.2%	; --%	;38	;Disminuir por13.6%	; --%	;
22	;(Lunes)2025/12/22	;1675	;Aumentar por2.6%	; --%	;787	;Aumentar por13.7%	; --%	;0	;Disminuir por100.0%	; --%	;35	;Aumentar por34.6%	; --%	;41	;Aumentar por115.8%	; --%	;58	;Aumentar por41.5%	; --%	;
23	;(Martes)2025/12/23	;1587	;Aumentar por12.2%	; --%	;680	;Aumentar por53.5%	; --%	;3	;Disminuir por57.1%	; --%	;37	;Aumentar por8.8%	; --%	;26	;Aumentar por188.9%	; --%	;19	;Disminuir por38.7%	; --%	;
24	;(Miércoles)2025/12/24	;1116	;Aumentar por33.7%	; --%	;354	;Disminuir por7.6%	; --%	;1	;Disminuir por75.0%	; --%	;40	;Disminuir por23.1%	; --%	;21	;Aumentar por90.9%	; --%	;29	;Disminuir por34.1%	; --%	;
25	;(Jueves)2025/12/25	;1324	;Aumentar por54.0%	; --%	;492	;Aumentar por47.3%	; --%	;0	;Disminuir por100.0%	; --%	;29	;Disminuir por50.0%	; --%	;3	;Disminuir por85.7%	; --%	;4	;Disminuir por90.9%	; --%	;
