N.º	;Hora	;Personas	; 	; 	; 	; 	; 	;Vehículos a motor	; 	; 	; 	; 	; 	;Vehículos sin motor	;
	;	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
	;	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
13	;(Sábado)2025/12/13	;2683	;Disminuir por5.9%	; --%	;3561	;Disminuir por17.9%	; --%	;117	;Disminuir por24.0%	; --%	;1	;Sin cambios	; --%	;100	;Disminuir por49.0%	; --%	;36	;Disminuir por65.4%	; --%	;
14	;(Domingo)2025/12/14	;1005	;Disminuir por66.1%	; --%	;1326	;Disminuir por69.5%	; --%	;166	;Disminuir por40.5%	; --%	;2	;Disminuir por33.3%	; --%	;26	;Disminuir por84.7%	; --%	;17	;Disminuir por83.7%	; --%	;
15	;(Lunes)2025/12/15	;564	;Disminuir por79.5%	; --%	;764	;Disminuir por81.5%	; --%	;220	;Aumentar por23.6%	; --%	;1	;Disminuir por66.7%	; --%	;10	;Disminuir por96.2%	; --%	;7	;Disminuir por94.9%	; --%	;
16	;(Martes)2025/12/16	;600	;Disminuir por63.3%	; --%	;666	;Disminuir por71.7%	; --%	;231	;Aumentar por62.7%	; --%	;0	; --%	; --%	;49	;Disminuir por72.6%	; --%	;8	;Disminuir por91.9%	; --%	;
17	;(Miércoles)2025/12/17	;568	;Disminuir por45.6%	; --%	;592	;Disminuir por47.5%	; --%	;261	;Disminuir por9.1%	; --%	;0	;Disminuir por100.0%	; --%	;13	;Disminuir por92.8%	; --%	;7	;Disminuir por85.7%	; --%	;
18	;(Jueves)2025/12/18	;802	;Disminuir por15.8%	; --%	;1013	;Disminuir por9.1%	; --%	;258	;Disminuir por4.4%	; --%	;1	;Disminuir por66.7%	; --%	;96	;Disminuir por47.3%	; --%	;55	;Disminuir por33.7%	; --%	;
19	;(Viernes)2025/12/19	;1014	;Aumentar por21.1%	; --%	;1167	;Aumentar por11.7%	; --%	;251	;Disminuir por12.2%	; --%	;16	;Aumentar por1500.0%	; --%	;109	;Disminuir por40.1%	; --%	;57	;Disminuir por33.7%	; --%	;
20	;(Sábado)2025/12/20	;2218	;Aumentar por139.8%	; --%	;3082	;Aumentar por201.0%	; --%	;139	;Disminuir por56.2%	; --%	;14	;Aumentar por366.7%	; --%	;108	;Disminuir por10.0%	; --%	;67	;Aumentar por8.1%	; --%	;
21	;(Domingo)2025/12/21	;1945	;Aumentar por114.7%	; --%	;2706	;Aumentar por131.1%	; --%	;118	;Disminuir por55.8%	; --%	;5	;Aumentar por400.0%	; --%	;78	;Disminuir por56.2%	; --%	;29	;Disminuir por54.0%	; --%	;
22	;(Lunes)2025/12/22	;1220	;Disminuir por22.0%	; --%	;1556	;Disminuir por24.4%	; --%	;227	;Aumentar por27.5%	; --%	;0	;Disminuir por100.0%	; --%	;109	;Disminuir por25.9%	; --%	;52	;Disminuir por30.7%	; --%	;
